	;Ц
0x8816	0xcd97	;
0x8817	0xcd95	;
0x8819	0xcd92	;
0x881b	0xceb0	;B
0x881c	0xceb3	;E
0x881d	0xceaf	;A
0x881f	0xa7a5	;
0x8820	0xceb1	;C
0x8821	0xa7a4	;
0x8822	0xa7a3	;
0x8823	0xa7a2	;
0x8824	0xceb2	;D
0x8825	0xcfa0	;Q
0x8826	0xcf9e	;O
0x8828	0xcf9d	;N
0x8829	0xceae	;@
0x882a	0xcf9f	;P
0x882b	0xceb4	;F
0x882c	0xcf9c	;M
0x882e	0xd069	;
0x882f	0xd047	;
0x8830	0xd067	;
0x8831	0xa866	;
0x8832	0xd068	;
0x8833	0xd06a	;
0x8835	0xd0cd	;
0x8836	0xa886	;
0x8837	0xd0cc	;
0x8838	0xd0cb	;
0x8839	0xa887	;
0x883b	0xa8a5	;Z
0x883c	0xd17e	;n
0x883d	0xd196	;
0x883e	0xd195	;
0x883f	0xd197	;
0x8840	0x8e86	;
0x8841	0xaf6b	;Ъ
0x8843	0xb1f0	;
0x8844	0xb1f1	;
0x8848	0xb8a5	;
0x884a	0xceb5	;G
0x884b	0xd0ce	;
0x884c	0x8e87	;
0x884d	0x93ce	;l
0x884e	0xaf6c	;Ы
0x8852	0xb555	;ױ
0x8853	0x98b2	;N
0x8855	0xb8a7	;
0x8856	0xb8a6	;
0x8857	0x9af7	;
0x8859	0x9d6b	;
0x885a	0xc2aa	;
0x885b	0xa18b	;
0x885d	0xa18c	;
0x8861	0xa34e	;
0x8862	0xa888	;
0x8863	0x8e88	;
0x8867	0xaf6d	;Ь
0x8868	0x91ce	;
0x8869	0xaf6f	;Ю
0x886a	0xaf6e	;Э
0x886b	0x93cf	;m
0x886d	0xb1f2	;
0x886f	0xb1f9	;
0x8870	0x964d	;I
0x8871	0xb1f7	;
0x8872	0xb1f5	;
0x8874	0xb1fc	;
0x8875	0xb1f3	;
0x8876	0xb1f4	;
0x8877	0x964e	;J
0x8879	0x9652	;N
0x887c	0xb240	;
0x887d	0x9651	;M
0x887e	0xb1fb	;
0x887f	0xb1f8	;
0x8880	0xb1f6	;
0x8881	0x964f	;K
0x8882	0x9650	;L
0x8883	0xb1fa	;
0x8888	0x98b4	;P
0x8889	0xb556	;ײ
0x888b	0x98b9	;U
0x888c	0xb566	;
0x888d	0x98b8	;T
0x888e	0xb568	;
0x8891	0xb55c	;׸
0x8892	0x98b6	;R
0x8893	0xb567	;
0x8895	0xb557	;׳
0x8896	0x98b7	;S
0x8897	0xb563	;׿
0x8898	0xb55f	;׻
0x8899	0xb561	;׽
0x889a	0xb55b	;׷
0x889b	0xb562	;׾
0x889e	0x98b3	;O
0x889f	0xb55e	;׺
0x88a1	0xb55d	;׹
0x88a2	0xb559	;׵
0x88a4	0xb564	;
0x88a7	0xb560	;׼
0x88a8	0xb558	;״
0x88aa	0xb55a	;׶
0x88ab	0x98b5	;Q
0x88ac	0xb565	;
0x88b1	0x9afa	;
0x88b2	0xb8b2	;
0x88b6	0xb8ae	;
0x88b7	0xb8b0	;
0x88b8	0xb8ab	;
0x88b9	0xb8aa	;
0x88ba	0xb8a8	;
0x88bc	0xb8af	;
0x88bd	0xb8b1	;
0x88be	0xb8ad	;
0x88c0	0xb8ac	;
0x88c1	0x9af8	;
0x88c2	0x9af9	;
0x88c9	0xb8b4	;
0x88ca	0x9d73	;
0x88cb	0xbc5a	;
0x88cc	0xbc60	;
0x88cd	0xbc5b	;
0x88ce	0xbc5c	;
0x88d0	0xbc61	;
0x88d2	0x9d75	;
0x88d4	0x9d6d	;
0x88d5	0x9d74	;
0x88d6	0xbc59	;
0x88d7	0xb8a9	;
0x88d8	0x9d70	;
0x88d9	0x9d6e	;
0x88da	0xbc5f	;
0x88db	0xbc5e	;
0x88dc	0x9d6f	;
0x88dd	0x9d71	;
0x88de	0xbc5d	;
0x88df	0x9d6c	;
0x88e1	0x9d72	;
0x88e7	0xbf9f	;
0x88e8	0x9f9c	;t
0x88eb	0xbfaa	;B
0x88ec	0xbfa9	;A
0x88ee	0xbfa4	;
0x88ef	0x9f9e	;v
0x88f0	0xbfa8	;@
0x88f1	0xbfa0	;
0x88f2	0xbfa1	;
0x88f3	0x9f96	;n
0x88f4	0x9f98	;p
0x88f6	0xbfa6	;
0x88f7	0xbf9e	;
0x88f8	0x9f9a	;r
0x88f9	0x9f99	;q
0x88fa	0xbfa2	;
0x88fb	0xbfa7	;
0x88fc	0xbfa5	;
0x88fd	0x9f9b	;s
0x88fe	0xbfa3	;
0x8901	0xb8b3	;
0x8902	0x9f97	;o
0x8905	0xc2ab	;
0x8906	0xc2b2	;
0x8907	0xa18e	;
0x8909	0xc2b6	;
0x890a	0xa192	;
0x890b	0xc2ae	;
0x890c	0xc2ac	;
0x890e	0xc2b5	;
0x8910	0xa18d	;
0x8911	0xc2b4	;
0x8912	0xa18f	;
0x8913	0xa190	;
0x8914	0xc2ad	;
0x8915	0xa191	;
0x8916	0xc2b3	;
0x8917	0xc2af	;
0x8918	0xc2b0	;
0x8919	0xc2b1	;
0x891a	0x9f9d	;u
0x891e	0xc5bb	;p
0x891f	0xc5c7	;|
0x8921	0xa353	;
0x8922	0xc5c2	;w
0x8923	0xc5c4	;y
0x8925	0xa351	;
0x8926	0xc5bc	;q
0x8927	0xc5c0	;u
0x8929	0xc5c3	;x
0x892a	0xa34f	;
0x892b	0xa352	;
0x892c	0xc5c6	;{
0x892d	0xc5be	;s
0x892e	0xc5bf	;t
0x892f	0xc5c5	;z
0x8930	0xc5bd	;r
0x8931	0xc5c1	;v
0x8932	0xa350	;
0x8933	0xc85f	;r
0x8935	0xc85e	;q
0x8936	0xa4bf	;
0x8937	0xc864	;w
0x8938	0xa4c1	;
0x893b	0xa4be	;
0x893c	0xc860	;s
0x893d	0xa4c2	;
0x893e	0xc861	;t
0x8941	0xc862	;u
0x8942	0xc865	;x
0x8944	0xa4c0	;
0x8946	0xca63	;
0x8949	0xca66	;
0x894b	0xca60	;
0x894c	0xca62	;
0x894f	0xca61	;
0x8950	0xca64	;
0x8951	0xca65	;
0x8952	0xc863	;v
0x8953	0xca5f	;
0x8956	0xa697	;
0x8957	0xcbf8	;
0x8958	0xcbfb	;
0x8959	0xcc40	;
0x895a	0xcbf6	;
0x895b	0xcbf7	;
0x895c	0xcbfa	;
0x895d	0xcbfc	;
0x895e	0xa698	;
0x895f	0xa696	;
0x8960	0xa695	;
0x8961	0xcbf9	;
0x8962	0xcbf5	;
0x8963	0xcd98	;
0x8964	0xa75a	;İ
0x8966	0xcd99	;
0x8969	0xceb7	;I
0x896a	0xa7a6	;
0x896b	0xceb9	;K
0x896c	0xa7a7	;
0x896d	0xceb6	;H
0x896e	0xceb8	;J
0x896f	0xa7f0	;Ũ
0x8971	0xcfa1	;R
0x8972	0xa7ef	;ŧ
0x8973	0xd06d	;
0x8974	0xd06c	;
0x8976	0xd06b	;
0x8979	0xd158	;H
0x897a	0xd159	;I
0x897b	0xd15b	;K
0x897c	0xd15a	;J
0x897e	0xa9ee	;P
0x897f	0x8e89	;
0x8981	0x93d0	;n
0x8982	0xb569	;
0x8983	0x9afb	;
0x8985	0xbc62	;
0x8986	0xa5b9	;
0x8988	0xcc41	;
0x898b	0x8fc2	;
0x898f	0x98bb	;W
0x8993	0x98ba	;V
0x8995	0xb8b5	;
0x8996	0x9afc	;
0x8997	0xb8b7	;
0x8998	0xb8b6	;
0x899b	0xbc63	;
0x899c	0x9d76	;
0x899d	0xbfab	;C
0x899e	0xbfae	;F
0x899f	0xbfad	;E
0x89a1	0xbfac	;D
0x89a2	0xc2b7	;
0x89a3	0xc2b9	;
0x89a4	0xc2b8	;
0x89a6	0xa355	;
0x89aa	0xa354	;
0x89ac	0xa4c3	;
0x89ad	0xc866	;y
0x89ae	0xc868	;{
0x89af	0xc867	;z
0x89b2	0xa5ba	;
0x89b6	0xcc43	;
0x89b7	0xcc42	;
0x89b9	0xcd9a	;
0x89ba	0xa75b	;ı
0x89bd	0xa7a8	;
0x89be	0xcfa3	;T
0x89bf	0xcfa2	;S
0x89c0	0xa8a6	;[
0x89d2	0x8fc3	;
0x89d3	0xaf70	;Я
0x89d4	0x93d1	;o
0x89d5	0xb56c	;
0x89d6	0xb56a	;
0x89d9	0xb56b	;
0x89da	0xb8b9	;
0x89db	0xb8ba	;
0x89dc	0xbc6a	;C
0x89dd	0xb8b8	;
0x89df	0xbc64	;
0x89e0	0xbc68	;A
0x89e1	0xbc67	;@
0x89e2	0xbc69	;B
0x89e3	0x9d77	;
0x89e4	0xbc66	;
0x89e5	0xbc65	;
0x89e6	0xbc6b	;D
0x89e8	0xbfb1	;I
0x89e9	0xbfaf	;G
0x89eb	0xbfb0	;H
0x89ec	0xc2bc	;
0x89ed	0xc2ba	;
0x89f0	0xc2bb	;
0x89f1	0xc5c8	;}
0x89f2	0xc869	;|
0x89f3	0xc86a	;}
0x89f4	0xa5bb	;
0x89f6	0xcc44	;
0x89f7	0xcd9b	;
0x89f8	0xa75c	;Ĳ
0x89fa	0xceba	;L
0x89fb	0xcfa4	;U
0x89fc	0xa7f1	;ũ
0x89fe	0xd06e	;
0x89ff	0xd15c	;L
0x8a00	0x8fc4	;
0x8a02	0x93d3	;q
0x8a03	0x93d4	;r
0x8a04	0xaf71	;а
0x8a07	0xaf72	;б
0x8a08	0x93d2	;p
0x8a0a	0x9658	;T
0x8a0c	0x9656	;R
0x8a0e	0x9655	;Q
0x8a0f	0x965c	;X
0x8a10	0x9654	;P
0x8a11	0x965d	;Y
0x8a12	0xb241	;
0x8a13	0x965a	;V
0x8a15	0x9657	;S
0x8a16	0x965b	;W
0x8a17	0x9659	;U
0x8a18	0x9653	;O
0x8a1b	0x98c3	;_
0x8a1d	0x98bd	;Y
0x8a1e	0xb570	;
0x8a1f	0x98c2	;^
0x8a22	0x98c4	;`
0x8a23	0x98be	;Z
0x8a25	0x98bf	;[
0x8a27	0xb56e	;
0x8a2a	0x98bc	;X
0x8a2c	0xb56f	;
0x8a2d	0x98c1	;]
0x8a30	0xb56d	;
0x8a31	0x98c0	;\
0x8a34	0x9b4a	;D
0x8a36	0x9b4c	;F
0x8a39	0xb8bd	;
0x8a3a	0x9b4b	;E
0x8a3b	0x9b40	;
0x8a3c	0x9b44	;
0x8a3e	0x9d8b	;
0x8a3f	0xbc70	;I
0x8a40	0xb8bf	;
0x8a41	0x9b45	;
0x8a44	0xb8c2	;
0x8a45	0xb8c3	;
0x8a46	0x9b49	;C
0x8a48	0xb8c5	;
0x8a4a	0xb8c7	;
0x8a4c	0xb8c8	;
0x8a4d	0xb8bc	;
0x8a4e	0xb8bb	;
0x8a4f	0xb8c9	;
0x8a50	0x9b48	;B
0x8a51	0xb8c6	;
0x8a52	0xb8c4	;
0x8a54	0x9b46	;@
0x8a55	0x9b42	;
0x8a56	0x9b4d	;G
0x8a57	0xb8c0	;
0x8a58	0xb8c1	;
0x8a59	0xb8be	;
0x8a5b	0x9b47	;A
0x8a5e	0x9b43	;
0x8a60	0x9b41	;
0x8a61	0xbc6f	;H
0x8a62	0x9d86	;
0x8a63	0x9d81	;
0x8a66	0x9d7b	;
0x8a68	0x9d8c	;
0x8a69	0x9d7c	;
0x8a6b	0x9d78	;
0x8a6c	0x9d88	;
0x8a6d	0x9d85	;
0x8a6e	0x9d87	;
0x8a70	0x9d7d	;
0x8a71	0x9d83	;
0x8a72	0x9d79	;
0x8a73	0x9d7a	;
0x8a74	0xbc77	;P
0x8a75	0xbc74	;M
0x8a76	0xbc6c	;E
0x8a77	0xbc71	;J
0x8a79	0x9d89	;
0x8a7a	0xbc78	;Q
0x8a7b	0x9d8a	;
0x8a7c	0x9d80	;
0x8a7f	0xbc6e	;G
0x8a81	0xbc76	;O
0x8a82	0xbc72	;K
0x8a83	0xbc75	;N
0x8a84	0xbc73	;L
0x8a85	0x9d84	;
0x8a86	0xbc6d	;F
0x8a87	0x9d7e	;
0x8a8b	0xbfb4	;L
0x8a8c	0x9fa0	;x
0x8a8d	0x9fa3	;{
0x8a8f	0xbfb6	;N
0x8a91	0x9fab	;
0x8a92	0xbfb5	;M
0x8a93	0x9fa5	;}
0x8a95	0xa197	;
0x8a96	0xbfb7	;O
0x8a98	0x9faa	;
0x8a99	0xbfb3	;K
0x8a9a	0x9fac	;
0x8a9e	0x9fa1	;y
0x8aa0	0x9d82	;
0x8aa1	0x9fa4	;|
0x8aa3	0x9fa2	;z
0x8aa4	0x9fa6	;~
0x8aa5	0x9fa8	;
0x8aa6	0x9f9f	;w
0x8aa7	0x9fad	;
0x8aa8	0x9fa9	;
0x8aaa	0x9fa7	;
0x8aab	0xbfb2	;J
0x8ab0	0xa19e	;
0x8ab2	0xa19a	;
0x8ab6	0xa1a1	;
0x8ab8	0xc2bf	;
0x8ab9	0xa1a2	;
0x8aba	0xc2cb	;
0x8abb	0xc2c4	;
0x8abc	0xa193	;
0x8abd	0xc2cc	;
0x8abe	0xc2c6	;
0x8abf	0xa19d	;
0x8ac0	0xc2c7	;
0x8ac2	0xa19c	;
0x8ac3	0xc2ca	;
0x8ac4	0xa196	;
0x8ac5	0xc2c8	;
0x8ac6	0xc2be	;
0x8ac7	0xa195	;
0x8ac8	0xc5d3	;
0x8ac9	0xa19b	;
0x8acb	0xa198	;
0x8acd	0xa1a0	;
0x8acf	0xc2bd	;
0x8ad1	0xc2c1	;
0x8ad2	0xa194	;
0x8ad3	0xc2c0	;
0x8ad4	0xc2c2	;
0x8ad5	0xc2c3	;
0x8ad6	0xa19f	;
0x8ad7	0xc2c5	;
0x8ad8	0xc2c9	;
0x8ad9	0xc2cd	;
0x8adb	0xa1a3	;
0x8adc	0xa35b	;
0x8add	0xc5ce	;
0x8ade	0xc5d4	;
0x8adf	0xc5d1	;
0x8ae0	0xc5c9	;~
0x8ae1	0xc5d5	;
0x8ae2	0xc5ca	;
0x8ae4	0xc5d0	;
0x8ae6	0xa356	;
0x8ae7	0xa35c	;
0x8ae8	0xc5d6	;
0x8aeb	0xa358	;
0x8aed	0xa362	;
0x8aee	0xa35d	;
0x8aef	0xc5d8	;
0x8af0	0xc5d2	;
0x8af1	0xa359	;
0x8af2	0xc5cb	;
0x8af3	0xa363	;
0x8af4	0xc5cc	;
0x8af5	0xc5cd	;
0x8af6	0xa364	;
0x8af7	0xa361	;
0x8af8	0xa199	;
0x8afa	0xa357	;
0x8afb	0xc5d9	;
0x8afc	0xa365	;
0x8afe	0xa35e	;
0x8aff	0xc5d7	;
0x8b00	0xa35a	;
0x8b01	0xa35f	;
0x8b02	0xa360	;
0x8b04	0xa4cb	;
0x8b05	0xc86f	;
0x8b06	0xc878	;
0x8b07	0xc875	;
0x8b08	0xc877	;
0x8b0a	0xa4c8	;
0x8b0b	0xc870	;
0x8b0d	0xc876	;
0x8b0e	0xa4c4	;
0x8b0f	0xc872	;
0x8b10	0xa4cc	;
0x8b11	0xc86e	;
0x8b12	0xc873	;
0x8b13	0xc87a	;
0x8b14	0xc5cf	;
0x8b15	0xc874	;
0x8b16	0xc86d	;
0x8b17	0xa4c5	;
0x8b18	0xc86c	;
0x8b19	0xa4c6	;
0x8b1a	0xc87b	;
0x8b1b	0xa4c7	;
0x8b1c	0xc879	;
0x8b1d	0xa4ca	;
0x8b1e	0xc86b	;~
0x8b20	0xa4c9	;
0x8b22	0xc871	;
0x8b23	0xca69	;
0x8b24	0xca77	;
0x8b25	0xca72	;
0x8b26	0xca74	;
0x8b27	0xca68	;
0x8b28	0xa5bc	;
0x8b2a	0xca67	;
0x8b2b	0xa5bf	;
0x8b2c	0xa5be	;
0x8b2e	0xca76	;
0x8b2f	0xca6e	;
0x8b30	0xca6b	;
0x8b31	0xca71	;
0x8b33	0xca6a	;
0x8b35	0xca6c	;
0x8b36	0xca75	;
0x8b37	0xca73	;
0x8b39	0xa5bd	;
0x8b3a	0xca7a	;
0x8b3b	0xca78	;
0x8b3c	0xca6f	;
0x8b3d	0xca79	;
0x8b3e	0xca70	;
0x8b40	0xcc48	;
0x8b41	0xa699	;
0x8b42	0xcc4f	;A
0x8b45	0xcebd	;O
0x8b46	0xa6a0	;
0x8b47	0xca6d	;
0x8b48	0xcc46	;
0x8b49	0xa69c	;
0x8b4a	0xcc47	;
0x8b4b	0xcc4c	;
0x8b4e	0xa69e	;
0x8b4f	0xa69f	;
0x8b50	0xcc45	;
0x8b51	0xcc4e	;@
0x8b52	0xcc50	;B
0x8b53	0xcc49	;
0x8b54	0xcc4b	;
0x8b55	0xcc4d	;
0x8b56	0xcc4a	;
0x8b57	0xcc51	;C
