	;Ц
0xb120	0x90fa	; Hangul Nieun-Eo-Khieukh
0xb121	0x90fb	; Hangul Nieun-Eo-Thieuth
0xb122	0x90fc	; Hangul Nieun-Eo-Phieuph
0xb123	0x90fd	; Hangul Nieun-Eo-Hieuh
0xb124	0x9141	;A Hangul Nieun-E
0xb125	0x9142	;B Hangul Nieun-E-Kiyeok
0xb126	0x9143	;C Hangul Nieun-E-SsangKiyeok
0xb127	0x9144	;D Hangul Nieun-E-KiyeokSios
0xb128	0x9145	;E Hangul Nieun-E-Nieun
0xb129	0x9146	;F Hangul Nieun-E-NieunCieuc
0xb12a	0x9147	;G Hangul Nieun-E-NieunHieuh
0xb12b	0x9148	;H Hangul Nieun-E-Tikeut
0xb12c	0x9149	;I Hangul Nieun-E-Rieul
0xb12d	0x914a	;J Hangul Nieun-E-RieulKiyeok
0xb12e	0x914b	;K Hangul Nieun-E-RieulMieum
0xb12f	0x914c	;L Hangul Nieun-E-RieulPieup
0xb130	0x914d	;M Hangul Nieun-E-RieulSios
0xb131	0x914e	;N Hangul Nieun-E-RieulThieuth
0xb132	0x914f	;O Hangul Nieun-E-RieulPhieuph
0xb133	0x9150	;P Hangul Nieun-E-RieulHieuh
0xb134	0x9151	;Q Hangul Nieun-E-Mieum
0xb135	0x9153	;S Hangul Nieun-E-Pieup
0xb136	0x9154	;T Hangul Nieun-E-PieupSios
0xb137	0x9155	;U Hangul Nieun-E-Sios
0xb138	0x9156	;V Hangul Nieun-E-Ssangsios
0xb139	0x9157	;W Hangul Nieun-E-Ieung
0xb13a	0x9158	;X Hangul Nieun-E-Cieuc
0xb13b	0x9159	;Y Hangul Nieun-E-Chieuch
0xb13c	0x915a	;Z Hangul Nieun-E-Khieukh
0xb13d	0x915b	;[ Hangul Nieun-E-Thieuth
0xb13e	0x915c	;\ Hangul Nieun-E-Phieuph
0xb13f	0x915d	;] Hangul Nieun-E-Hieuh
0xb140	0x9161	;a Hangul Nieun-Yeo
0xb141	0x9162	;b Hangul Nieun-Yeo-Kiyeok
0xb142	0x9163	;c Hangul Nieun-Yeo-SsangKiyeok
0xb143	0x9164	;d Hangul Nieun-Yeo-KiyeokSios
0xb144	0x9165	;e Hangul Nieun-Yeo-Nieun
0xb145	0x9166	;f Hangul Nieun-Yeo-NieunCieuc
0xb146	0x9167	;g Hangul Nieun-Yeo-NieunHieuh
0xb147	0x9168	;h Hangul Nieun-Yeo-Tikeut
0xb148	0x9169	;i Hangul Nieun-Yeo-Rieul
0xb149	0x916a	;j Hangul Nieun-Yeo-RieulKiyeok
0xb14a	0x916b	;k Hangul Nieun-Yeo-RieulMieum
0xb14b	0x916c	;l Hangul Nieun-Yeo-RieulPieup
0xb14c	0x916d	;m Hangul Nieun-Yeo-RieulSios
0xb14d	0x916e	;n Hangul Nieun-Yeo-RieulThieuth
0xb14e	0x916f	;o Hangul Nieun-Yeo-RieulPhieuph
0xb14f	0x9170	;p Hangul Nieun-Yeo-RieulHieuh
0xb150	0x9171	;q Hangul Nieun-Yeo-Mieum
0xb151	0x9173	;s Hangul Nieun-Yeo-Pieup
0xb152	0x9174	;t Hangul Nieun-Yeo-PieupSios
0xb153	0x9175	;u Hangul Nieun-Yeo-Sios
0xb154	0x9176	;v Hangul Nieun-Yeo-Ssangsios
0xb155	0x9177	;w Hangul Nieun-Yeo-Ieung
0xb156	0x9178	;x Hangul Nieun-Yeo-Cieuc
0xb157	0x9179	;y Hangul Nieun-Yeo-Chieuch
0xb158	0x917a	;z Hangul Nieun-Yeo-Khieukh
0xb159	0x917b	;{ Hangul Nieun-Yeo-Thieuth
0xb15a	0x917c	;| Hangul Nieun-Yeo-Phieuph
0xb15b	0x917d	;} Hangul Nieun-Yeo-Hieuh
0xb15c	0x9181	; Hangul Nieun-Ye
0xb15d	0x9182	; Hangul Nieun-Ye-Kiyeok
0xb15e	0x9183	; Hangul Nieun-Ye-SsangKiyeok
0xb15f	0x9184	; Hangul Nieun-Ye-KiyeokSios
0xb160	0x9185	; Hangul Nieun-Ye-Nieun
0xb161	0x9186	; Hangul Nieun-Ye-NieunCieuc
0xb162	0x9187	; Hangul Nieun-Ye-NieunHieuh
0xb163	0x9188	; Hangul Nieun-Ye-Tikeut
0xb164	0x9189	; Hangul Nieun-Ye-Rieul
0xb165	0x918a	; Hangul Nieun-Ye-RieulKiyeok
0xb166	0x918b	; Hangul Nieun-Ye-RieulMieum
0xb167	0x918c	; Hangul Nieun-Ye-RieulPieup
0xb168	0x918d	; Hangul Nieun-Ye-RieulSios
0xb169	0x918e	; Hangul Nieun-Ye-RieulThieuth
0xb16a	0x918f	; Hangul Nieun-Ye-RieulPhieuph
0xb16b	0x9190	; Hangul Nieun-Ye-RieulHieuh
0xb16c	0x9191	; Hangul Nieun-Ye-Mieum
0xb16d	0x9193	; Hangul Nieun-Ye-Pieup
0xb16e	0x9194	; Hangul Nieun-Ye-PieupSios
0xb16f	0x9195	; Hangul Nieun-Ye-Sios
0xb170	0x9196	; Hangul Nieun-Ye-Ssangsios
0xb171	0x9197	; Hangul Nieun-Ye-Ieung
0xb172	0x9198	; Hangul Nieun-Ye-Cieuc
0xb173	0x9199	; Hangul Nieun-Ye-Chieuch
0xb174	0x919a	; Hangul Nieun-Ye-Khieukh
0xb175	0x919b	; Hangul Nieun-Ye-Thieuth
0xb176	0x919c	; Hangul Nieun-Ye-Phieuph
0xb177	0x919d	; Hangul Nieun-Ye-Hieuh
0xb178	0x91a1	; Hangul Nieun-O
0xb179	0x91a2	; Hangul Nieun-O-Kiyeok
0xb17a	0x91a3	; Hangul Nieun-O-SsangKiyeok
0xb17b	0x91a4	; Hangul Nieun-O-KiyeokSios
0xb17c	0x91a5	; Hangul Nieun-O-Nieun
0xb17d	0x91a6	; Hangul Nieun-O-NieunCieuc
0xb17e	0x91a7	; Hangul Nieun-O-NieunHieuh
0xb17f	0x91a8	; Hangul Nieun-O-Tikeut
0xb180	0x91a9	; Hangul Nieun-O-Rieul
0xb181	0x91aa	; Hangul Nieun-O-RieulKiyeok
0xb182	0x91ab	; Hangul Nieun-O-RieulMieum
0xb183	0x91ac	; Hangul Nieun-O-RieulPieup
0xb184	0x91ad	; Hangul Nieun-O-RieulSios
0xb185	0x91ae	; Hangul Nieun-O-RieulThieuth
0xb186	0x91af	; Hangul Nieun-O-RieulPhieuph
0xb187	0x91b0	; Hangul Nieun-O-RieulHieuh
0xb188	0x91b1	; Hangul Nieun-O-Mieum
0xb189	0x91b3	; Hangul Nieun-O-Pieup
0xb18a	0x91b4	; Hangul Nieun-O-PieupSios
0xb18b	0x91b5	; Hangul Nieun-O-Sios
0xb18c	0x91b6	; Hangul Nieun-O-Ssangsios
0xb18d	0x91b7	; Hangul Nieun-O-Ieung
0xb18e	0x91b8	; Hangul Nieun-O-Cieuc
0xb18f	0x91b9	; Hangul Nieun-O-Chieuch
0xb190	0x91ba	; Hangul Nieun-O-Khieukh
0xb191	0x91bb	; Hangul Nieun-O-Thieuth
0xb192	0x91bc	; Hangul Nieun-O-Phieuph
0xb193	0x91bd	; Hangul Nieun-O-Hieuh
0xb194	0x91c1	; Hangul Nieun-Wa
0xb195	0x91c2	; Hangul Nieun-Wa-Kiyeok
0xb196	0x91c3	; Hangul Nieun-Wa-SsangKiyeok
0xb197	0x91c4	; Hangul Nieun-Wa-KiyeokSios
0xb198	0x91c5	; Hangul Nieun-Wa-Nieun
0xb199	0x91c6	; Hangul Nieun-Wa-NieunCieuc
0xb19a	0x91c7	; Hangul Nieun-Wa-NieunHieuh
0xb19b	0x91c8	; Hangul Nieun-Wa-Tikeut
0xb19c	0x91c9	; Hangul Nieun-Wa-Rieul
0xb19d	0x91ca	; Hangul Nieun-Wa-RieulKiyeok
0xb19e	0x91cb	; Hangul Nieun-Wa-RieulMieum
0xb19f	0x91cc	; Hangul Nieun-Wa-RieulPieup
0xb1a0	0x91cd	; Hangul Nieun-Wa-RieulSios
0xb1a1	0x91ce	; Hangul Nieun-Wa-RieulThieuth
0xb1a2	0x91cf	; Hangul Nieun-Wa-RieulPhieuph
0xb1a3	0x91d0	; Hangul Nieun-Wa-RieulHieuh
0xb1a4	0x91d1	; Hangul Nieun-Wa-Mieum
0xb1a5	0x91d3	; Hangul Nieun-Wa-Pieup
0xb1a6	0x91d4	; Hangul Nieun-Wa-PieupSios
0xb1a7	0x91d5	; Hangul Nieun-Wa-Sios
0xb1a8	0x91d6	; Hangul Nieun-Wa-Ssangsios
0xb1a9	0x91d7	; Hangul Nieun-Wa-Ieung
0xb1aa	0x91d8	; Hangul Nieun-Wa-Cieuc
0xb1ab	0x91d9	; Hangul Nieun-Wa-Chieuch
0xb1ac	0x91da	; Hangul Nieun-Wa-Khieukh
0xb1ad	0x91db	; Hangul Nieun-Wa-Thieuth
0xb1ae	0x91dc	; Hangul Nieun-Wa-Phieuph
0xb1af	0x91dd	; Hangul Nieun-Wa-Hieuh
0xb1b0	0x91e1	; Hangul Nieun-Wae
0xb1b1	0x91e2	; Hangul Nieun-Wae-Kiyeok
0xb1b2	0x91e3	; Hangul Nieun-Wae-SsangKiyeok
0xb1b3	0x91e4	; Hangul Nieun-Wae-KiyeokSios
0xb1b4	0x91e5	; Hangul Nieun-Wae-Nieun
0xb1b5	0x91e6	; Hangul Nieun-Wae-NieunCieuc
0xb1b6	0x91e7	; Hangul Nieun-Wae-NieunHieuh
0xb1b7	0x91e8	; Hangul Nieun-Wae-Tikeut
0xb1b8	0x91e9	; Hangul Nieun-Wae-Rieul
0xb1b9	0x91ea	; Hangul Nieun-Wae-RieulKiyeok
0xb1ba	0x91eb	; Hangul Nieun-Wae-RieulMieum
0xb1bb	0x91ec	; Hangul Nieun-Wae-RieulPieup
0xb1bc	0x91ed	; Hangul Nieun-Wae-RieulSios
0xb1bd	0x91ee	; Hangul Nieun-Wae-RieulThieuth
0xb1be	0x91ef	; Hangul Nieun-Wae-RieulPhieuph
0xb1bf	0x91f0	; Hangul Nieun-Wae-RieulHieuh
0xb1c0	0x91f1	; Hangul Nieun-Wae-Mieum
0xb1c1	0x91f3	; Hangul Nieun-Wae-Pieup
0xb1c2	0x91f4	; Hangul Nieun-Wae-PieupSios
0xb1c3	0x91f5	; Hangul Nieun-Wae-Sios
0xb1c4	0x91f6	; Hangul Nieun-Wae-Ssangsios
0xb1c5	0x91f7	; Hangul Nieun-Wae-Ieung
0xb1c6	0x91f8	; Hangul Nieun-Wae-Cieuc
0xb1c7	0x91f9	; Hangul Nieun-Wae-Chieuch
0xb1c8	0x91fa	; Hangul Nieun-Wae-Khieukh
0xb1c9	0x91fb	; Hangul Nieun-Wae-Thieuth
0xb1ca	0x91fc	; Hangul Nieun-Wae-Phieuph
0xb1cb	0x91fd	; Hangul Nieun-Wae-Hieuh
0xb1cc	0x9241	;A Hangul Nieun-Oe
0xb1cd	0x9242	;B Hangul Nieun-Oe-Kiyeok
0xb1ce	0x9243	;C Hangul Nieun-Oe-SsangKiyeok
0xb1cf	0x9244	;D Hangul Nieun-Oe-KiyeokSios
0xb1d0	0x9245	;E Hangul Nieun-Oe-Nieun
0xb1d1	0x9246	;F Hangul Nieun-Oe-NieunCieuc
0xb1d2	0x9247	;G Hangul Nieun-Oe-NieunHieuh
0xb1d3	0x9248	;H Hangul Nieun-Oe-Tikeut
0xb1d4	0x9249	;I Hangul Nieun-Oe-Rieul
0xb1d5	0x924a	;J Hangul Nieun-Oe-RieulKiyeok
0xb1d6	0x924b	;K Hangul Nieun-Oe-RieulMieum
0xb1d7	0x924c	;L Hangul Nieun-Oe-RieulPieup
0xb1d8	0x924d	;M Hangul Nieun-Oe-RieulSios
0xb1d9	0x924e	;N Hangul Nieun-Oe-RieulThieuth
0xb1da	0x924f	;O Hangul Nieun-Oe-RieulPhieuph
0xb1db	0x9250	;P Hangul Nieun-Oe-RieulHieuh
0xb1dc	0x9251	;Q Hangul Nieun-Oe-Mieum
0xb1dd	0x9253	;S Hangul Nieun-Oe-Pieup
0xb1de	0x9254	;T Hangul Nieun-Oe-PieupSios
0xb1df	0x9255	;U Hangul Nieun-Oe-Sios
0xb1e0	0x9256	;V Hangul Nieun-Oe-Ssangsios
0xb1e1	0x9257	;W Hangul Nieun-Oe-Ieung
0xb1e2	0x9258	;X Hangul Nieun-Oe-Cieuc
0xb1e3	0x9259	;Y Hangul Nieun-Oe-Chieuch
0xb1e4	0x925a	;Z Hangul Nieun-Oe-Khieukh
0xb1e5	0x925b	;[ Hangul Nieun-Oe-Thieuth
0xb1e6	0x925c	;\ Hangul Nieun-Oe-Phieuph
0xb1e7	0x925d	;] Hangul Nieun-Oe-Hieuh
0xb1e8	0x9261	;a Hangul Nieun-Yo
0xb1e9	0x9262	;b Hangul Nieun-Yo-Kiyeok
0xb1ea	0x9263	;c Hangul Nieun-Yo-SsangKiyeok
0xb1eb	0x9264	;d Hangul Nieun-Yo-KiyeokSios
0xb1ec	0x9265	;e Hangul Nieun-Yo-Nieun
0xb1ed	0x9266	;f Hangul Nieun-Yo-NieunCieuc
0xb1ee	0x9267	;g Hangul Nieun-Yo-NieunHieuh
0xb1ef	0x9268	;h Hangul Nieun-Yo-Tikeut
0xb1f0	0x9269	;i Hangul Nieun-Yo-Rieul
0xb1f1	0x926a	;j Hangul Nieun-Yo-RieulKiyeok
0xb1f2	0x926b	;k Hangul Nieun-Yo-RieulMieum
0xb1f3	0x926c	;l Hangul Nieun-Yo-RieulPieup
0xb1f4	0x926d	;m Hangul Nieun-Yo-RieulSios
0xb1f5	0x926e	;n Hangul Nieun-Yo-RieulThieuth
0xb1f6	0x926f	;o Hangul Nieun-Yo-RieulPhieuph
0xb1f7	0x9270	;p Hangul Nieun-Yo-RieulHieuh
0xb1f8	0x9271	;q Hangul Nieun-Yo-Mieum
0xb1f9	0x9273	;s Hangul Nieun-Yo-Pieup
0xb1fa	0x9274	;t Hangul Nieun-Yo-PieupSios
0xb1fb	0x9275	;u Hangul Nieun-Yo-Sios
0xb1fc	0x9276	;v Hangul Nieun-Yo-Ssangsios
0xb1fd	0x9277	;w Hangul Nieun-Yo-Ieung
0xb1fe	0x9278	;x Hangul Nieun-Yo-Cieuc
0xb1ff	0x9279	;y Hangul Nieun-Yo-Chieuch
0xb200	0x927a	;z Hangul Nieun-Yo-Khieukh
0xb201	0x927b	;{ Hangul Nieun-Yo-Thieuth
0xb202	0x927c	;| Hangul Nieun-Yo-Phieuph
0xb203	0x927d	;} Hangul Nieun-Yo-Hieuh
0xb204	0x9281	; Hangul Nieun-U
0xb205	0x9282	; Hangul Nieun-U-Kiyeok
0xb206	0x9283	; Hangul Nieun-U-SsangKiyeok
0xb207	0x9284	; Hangul Nieun-U-KiyeokSios
0xb208	0x9285	; Hangul Nieun-U-Nieun
0xb209	0x9286	; Hangul Nieun-U-NieunCieuc
0xb20a	0x9287	; Hangul Nieun-U-NieunHieuh
0xb20b	0x9288	; Hangul Nieun-U-Tikeut
0xb20c	0x9289	; Hangul Nieun-U-Rieul
0xb20d	0x928a	; Hangul Nieun-U-RieulKiyeok
0xb20e	0x928b	; Hangul Nieun-U-RieulMieum
0xb20f	0x928c	; Hangul Nieun-U-RieulPieup
0xb210	0x928d	; Hangul Nieun-U-RieulSios
0xb211	0x928e	; Hangul Nieun-U-RieulThieuth
0xb212	0x928f	; Hangul Nieun-U-RieulPhieuph
0xb213	0x9290	; Hangul Nieun-U-RieulHieuh
0xb214	0x9291	; Hangul Nieun-U-Mieum
0xb215	0x9293	; Hangul Nieun-U-Pieup
0xb216	0x9294	; Hangul Nieun-U-PieupSios
0xb217	0x9295	; Hangul Nieun-U-Sios
0xb218	0x9296	; Hangul Nieun-U-Ssangsios
0xb219	0x9297	; Hangul Nieun-U-Ieung
0xb21a	0x9298	; Hangul Nieun-U-Cieuc
0xb21b	0x9299	; Hangul Nieun-U-Chieuch
0xb21c	0x929a	; Hangul Nieun-U-Khieukh
0xb21d	0x929b	; Hangul Nieun-U-Thieuth
0xb21e	0x929c	; Hangul Nieun-U-Phieuph
0xb21f	0x929d	; Hangul Nieun-U-Hieuh
0xb220	0x92a1	; Hangul Nieun-Weo
0xb221	0x92a2	; Hangul Nieun-Weo-Kiyeok
0xb222	0x92a3	; Hangul Nieun-Weo-SsangKiyeok
0xb223	0x92a4	; Hangul Nieun-Weo-KiyeokSios
0xb224	0x92a5	; Hangul Nieun-Weo-Nieun
0xb225	0x92a6	; Hangul Nieun-Weo-NieunCieuc
0xb226	0x92a7	; Hangul Nieun-Weo-NieunHieuh
0xb227	0x92a8	; Hangul Nieun-Weo-Tikeut
0xb228	0x92a9	; Hangul Nieun-Weo-Rieul
0xb229	0x92aa	; Hangul Nieun-Weo-RieulKiyeok
0xb22a	0x92ab	; Hangul Nieun-Weo-RieulMieum
0xb22b	0x92ac	; Hangul Nieun-Weo-RieulPieup
0xb22c	0x92ad	; Hangul Nieun-Weo-RieulSios
0xb22d	0x92ae	; Hangul Nieun-Weo-RieulThieuth
0xb22e	0x92af	; Hangul Nieun-Weo-RieulPhieuph
0xb22f	0x92b0	; Hangul Nieun-Weo-RieulHieuh
0xb230	0x92b1	; Hangul Nieun-Weo-Mieum
0xb231	0x92b3	; Hangul Nieun-Weo-Pieup
0xb232	0x92b4	; Hangul Nieun-Weo-PieupSios
0xb233	0x92b5	; Hangul Nieun-Weo-Sios
0xb234	0x92b6	; Hangul Nieun-Weo-Ssangsios
0xb235	0x92b7	; Hangul Nieun-Weo-Ieung
0xb236	0x92b8	; Hangul Nieun-Weo-Cieuc
0xb237	0x92b9	; Hangul Nieun-Weo-Chieuch
0xb238	0x92ba	; Hangul Nieun-Weo-Khieukh
0xb239	0x92bb	; Hangul Nieun-Weo-Thieuth
0xb23a	0x92bc	; Hangul Nieun-Weo-Phieuph
0xb23b	0x92bd	; Hangul Nieun-Weo-Hieuh
0xb23c	0x92c1	; Hangul Nieun-We
0xb23d	0x92c2	; Hangul Nieun-We-Kiyeok
0xb23e	0x92c3	; Hangul Nieun-We-SsangKiyeok
0xb23f	0x92c4	; Hangul Nieun-We-KiyeokSios
0xb240	0x92c5	; Hangul Nieun-We-Nieun
0xb241	0x92c6	; Hangul Nieun-We-NieunCieuc
0xb242	0x92c7	; Hangul Nieun-We-NieunHieuh
0xb243	0x92c8	; Hangul Nieun-We-Tikeut
0xb244	0x92c9	; Hangul Nieun-We-Rieul
0xb245	0x92ca	; Hangul Nieun-We-RieulKiyeok
0xb246	0x92cb	; Hangul Nieun-We-RieulMieum
0xb247	0x92cc	; Hangul Nieun-We-RieulPieup
0xb248	0x92cd	; Hangul Nieun-We-RieulSios
0xb249	0x92ce	; Hangul Nieun-We-RieulThieuth
0xb24a	0x92cf	; Hangul Nieun-We-RieulPhieuph
0xb24b	0x92d0	; Hangul Nieun-We-RieulHieuh
0xb24c	0x92d1	; Hangul Nieun-We-Mieum
0xb24d	0x92d3	; Hangul Nieun-We-Pieup
0xb24e	0x92d4	; Hangul Nieun-We-PieupSios
0xb24f	0x92d5	; Hangul Nieun-We-Sios
0xb250	0x92d6	; Hangul Nieun-We-Ssangsios
0xb251	0x92d7	; Hangul Nieun-We-Ieung
0xb252	0x92d8	; Hangul Nieun-We-Cieuc
0xb253	0x92d9	; Hangul Nieun-We-Chieuch
0xb254	0x92da	; Hangul Nieun-We-Khieukh
0xb255	0x92db	; Hangul Nieun-We-Thieuth
0xb256	0x92dc	; Hangul Nieun-We-Phieuph
0xb257	0x92dd	; Hangul Nieun-We-Hieuh
0xb258	0x92e1	; Hangul Nieun-Wi
0xb259	0x92e2	; Hangul Nieun-Wi-Kiyeok
0xb25a	0x92e3	; Hangul Nieun-Wi-SsangKiyeok
0xb25b	0x92e4	; Hangul Nieun-Wi-KiyeokSios
0xb25c	0x92e5	; Hangul Nieun-Wi-Nieun
0xb25d	0x92e6	; Hangul Nieun-Wi-NieunCieuc
0xb25e	0x92e7	; Hangul Nieun-Wi-NieunHieuh
0xb25f	0x92e8	; Hangul Nieun-Wi-Tikeut
0xb260	0x92e9	; Hangul Nieun-Wi-Rieul
0xb261	0x92ea	; Hangul Nieun-Wi-RieulKiyeok
0xb262	0x92eb	; Hangul Nieun-Wi-RieulMieum
0xb263	0x92ec	; Hangul Nieun-Wi-RieulPieup
0xb264	0x92ed	; Hangul Nieun-Wi-RieulSios
0xb265	0x92ee	; Hangul Nieun-Wi-RieulThieuth
0xb266	0x92ef	; Hangul Nieun-Wi-RieulPhieuph
0xb267	0x92f0	; Hangul Nieun-Wi-RieulHieuh
0xb268	0x92f1	; Hangul Nieun-Wi-Mieum
0xb269	0x92f3	; Hangul Nieun-Wi-Pieup
0xb26a	0x92f4	; Hangul Nieun-Wi-PieupSios
0xb26b	0x92f5	; Hangul Nieun-Wi-Sios
0xb26c	0x92f6	; Hangul Nieun-Wi-Ssangsios
0xb26d	0x92f7	; Hangul Nieun-Wi-Ieung
0xb26e	0x92f8	; Hangul Nieun-Wi-Cieuc
0xb26f	0x92f9	; Hangul Nieun-Wi-Chieuch
0xb270	0x92fa	; Hangul Nieun-Wi-Khieukh
0xb271	0x92fb	; Hangul Nieun-Wi-Thieuth
0xb272	0x92fc	; Hangul Nieun-Wi-Phieuph
0xb273	0x92fd	; Hangul Nieun-Wi-Hieuh
0xb274	0x9341	;A Hangul Nieun-Yu
0xb275	0x9342	;B Hangul Nieun-Yu-Kiyeok
0xb276	0x9343	;C Hangul Nieun-Yu-SsangKiyeok
0xb277	0x9344	;D Hangul Nieun-Yu-KiyeokSios
0xb278	0x9345	;E Hangul Nieun-Yu-Nieun
0xb279	0x9346	;F Hangul Nieun-Yu-NieunCieuc
0xb27a	0x9347	;G Hangul Nieun-Yu-NieunHieuh
0xb27b	0x9348	;H Hangul Nieun-Yu-Tikeut
0xb27c	0x9349	;I Hangul Nieun-Yu-Rieul
0xb27d	0x934a	;J Hangul Nieun-Yu-RieulKiyeok
0xb27e	0x934b	;K Hangul Nieun-Yu-RieulMieum
0xb27f	0x934c	;L Hangul Nieun-Yu-RieulPieup
0xb280	0x934d	;M Hangul Nieun-Yu-RieulSios
0xb281	0x934e	;N Hangul Nieun-Yu-RieulThieuth
0xb282	0x934f	;O Hangul Nieun-Yu-RieulPhieuph
0xb283	0x9350	;P Hangul Nieun-Yu-RieulHieuh
0xb284	0x9351	;Q Hangul Nieun-Yu-Mieum
0xb285	0x9353	;S Hangul Nieun-Yu-Pieup
0xb286	0x9354	;T Hangul Nieun-Yu-PieupSios
0xb287	0x9355	;U Hangul Nieun-Yu-Sios
0xb288	0x9356	;V Hangul Nieun-Yu-Ssangsios
0xb289	0x9357	;W Hangul Nieun-Yu-Ieung
0xb28a	0x9358	;X Hangul Nieun-Yu-Cieuc
0xb28b	0x9359	;Y Hangul Nieun-Yu-Chieuch
0xb28c	0x935a	;Z Hangul Nieun-Yu-Khieukh
0xb28d	0x935b	;[ Hangul Nieun-Yu-Thieuth
0xb28e	0x935c	;\ Hangul Nieun-Yu-Phieuph
0xb28f	0x935d	;] Hangul Nieun-Yu-Hieuh
0xb290	0x9361	;a Hangul Nieun-Eu
0xb291	0x9362	;b Hangul Nieun-Eu-Kiyeok
0xb292	0x9363	;c Hangul Nieun-Eu-SsangKiyeok
0xb293	0x9364	;d Hangul Nieun-Eu-KiyeokSios
0xb294	0x9365	;e Hangul Nieun-Eu-Nieun
0xb295	0x9366	;f Hangul Nieun-Eu-NieunCieuc
0xb296	0x9367	;g Hangul Nieun-Eu-NieunHieuh
0xb297	0x9368	;h Hangul Nieun-Eu-Tikeut
0xb298	0x9369	;i Hangul Nieun-Eu-Rieul
0xb299	0x936a	;j Hangul Nieun-Eu-RieulKiyeok
0xb29a	0x936b	;k Hangul Nieun-Eu-RieulMieum
0xb29b	0x936c	;l Hangul Nieun-Eu-RieulPieup
0xb29c	0x936d	;m Hangul Nieun-Eu-RieulSios
0xb29d	0x936e	;n Hangul Nieun-Eu-RieulThieuth
0xb29e	0x936f	;o Hangul Nieun-Eu-RieulPhieuph
0xb29f	0x9370	;p Hangul Nieun-Eu-RieulHieuh
0xb2a0	0x9371	;q Hangul Nieun-Eu-Mieum
0xb2a1	0x9373	;s Hangul Nieun-Eu-Pieup
0xb2a2	0x9374	;t Hangul Nieun-Eu-PieupSios
0xb2a3	0x9375	;u Hangul Nieun-Eu-Sios
0xb2a4	0x9376	;v Hangul Nieun-Eu-Ssangsios
0xb2a5	0x9377	;w Hangul Nieun-Eu-Ieung
0xb2a6	0x9378	;x Hangul Nieun-Eu-Cieuc
0xb2a7	0x9379	;y Hangul Nieun-Eu-Chieuch
0xb2a8	0x937a	;z Hangul Nieun-Eu-Khieukh
0xb2a9	0x937b	;{ Hangul Nieun-Eu-Thieuth
0xb2aa	0x937c	;| Hangul Nieun-Eu-Phieuph
0xb2ab	0x937d	;} Hangul Nieun-Eu-Hieuh
0xb2ac	0x9381	; Hangul Nieun-Yi
0xb2ad	0x9382	; Hangul Nieun-Yi-Kiyeok
0xb2ae	0x9383	; Hangul Nieun-Yi-SsangKiyeok
0xb2af	0x9384	; Hangul Nieun-Yi-KiyeokSios
0xb2b0	0x9385	; Hangul Nieun-Yi-Nieun
0xb2b1	0x9386	; Hangul Nieun-Yi-NieunCieuc
0xb2b2	0x9387	; Hangul Nieun-Yi-NieunHieuh
0xb2b3	0x9388	; Hangul Nieun-Yi-Tikeut
0xb2b4	0x9389	; Hangul Nieun-Yi-Rieul
0xb2b5	0x938a	; Hangul Nieun-Yi-RieulKiyeok
0xb2b6	0x938b	; Hangul Nieun-Yi-RieulMieum
0xb2b7	0x938c	; Hangul Nieun-Yi-RieulPieup
0xb2b8	0x938d	; Hangul Nieun-Yi-RieulSios
0xb2b9	0x938e	; Hangul Nieun-Yi-RieulThieuth
0xb2ba	0x938f	; Hangul Nieun-Yi-RieulPhieuph
0xb2bb	0x9390	; Hangul Nieun-Yi-RieulHieuh
0xb2bc	0x9391	; Hangul Nieun-Yi-Mieum
0xb2bd	0x9393	; Hangul Nieun-Yi-Pieup
0xb2be	0x9394	; Hangul Nieun-Yi-PieupSios
0xb2bf	0x9395	; Hangul Nieun-Yi-Sios
0xb2c0	0x9396	; Hangul Nieun-Yi-Ssangsios
0xb2c1	0x9397	; Hangul Nieun-Yi-Ieung
0xb2c2	0x9398	; Hangul Nieun-Yi-Cieuc
0xb2c3	0x9399	; Hangul Nieun-Yi-Chieuch
0xb2c4	0x939a	; Hangul Nieun-Yi-Khieukh
0xb2c5	0x939b	; Hangul Nieun-Yi-Thieuth
0xb2c6	0x939c	; Hangul Nieun-Yi-Phieuph
0xb2c7	0x939d	; Hangul Nieun-Yi-Hieuh
0xb2c8	0x93a1	; Hangul Nieun-I
0xb2c9	0x93a2	; Hangul Nieun-I-Kiyeok
0xb2ca	0x93a3	; Hangul Nieun-I-SsangKiyeok
0xb2cb	0x93a4	; Hangul Nieun-I-KiyeokSios
0xb2cc	0x93a5	; Hangul Nieun-I-Nieun
0xb2cd	0x93a6	; Hangul Nieun-I-NieunCieuc
0xb2ce	0x93a7	; Hangul Nieun-I-NieunHieuh
0xb2cf	0x93a8	; Hangul Nieun-I-Tikeut
0xb2d0	0x93a9	; Hangul Nieun-I-Rieul
0xb2d1	0x93aa	; Hangul Nieun-I-RieulKiyeok
0xb2d2	0x93ab	; Hangul Nieun-I-RieulMieum
0xb2d3	0x93ac	; Hangul Nieun-I-RieulPieup
0xb2d4	0x93ad	; Hangul Nieun-I-RieulSios
0xb2d5	0x93ae	; Hangul Nieun-I-RieulThieuth
0xb2d6	0x93af	; Hangul Nieun-I-RieulPhieuph
0xb2d7	0x93b0	; Hangul Nieun-I-RieulHieuh
0xb2d8	0x93b1	; Hangul Nieun-I-Mieum
0xb2d9	0x93b3	; Hangul Nieun-I-Pieup
