1	;Fullwidth Solidus
0x6fa6	0xf1b2	;H
0x6fa7	0xf1ad	;C
0x6fa8	0xd822	;
0x6fa9	0xdd3b	;O
0x6faa	0xd828	;
0x6fab	0xd82e	;B
0x6fac	0xd827	;
0x6fad	0xd774	;
0x6fae	0xd825	;
0x6faf	0xd830	;D
0x6fb0	0xd832	;F
0x6fb1	0xf1a8	;
0x6fb2	0xd831	;E
0x6fb3	0xf1ae	;D
0x6fb4	0xf1b4	;J
0x6fb6	0xf1b1	;G
0x6fb8	0xd82b	;
0x6fb9	0xf1b0	;F
0x6fba	0xd826	;
0x6fbc	0xd778	;
0x6fbd	0xd77d	;
0x6fbf	0xd82a	;
0x6fc0	0xf1af	;E
0x6fc1	0xf1ac	;B
0x6fc2	0xf1a7	;
0x6fc3	0xf1aa	;@
0x6fc4	0xd77c	;
0x6fc6	0xd146	;
0x6fc7	0xd777	;
0x6fc8	0xd77a	;
0x6fc9	0xd82d	;A
0x6fca	0xd821	;
0x6fcb	0xd775	;
0x6fcc	0xdd3a	;N
0x6fcd	0xd82f	;C
0x6fce	0xd779	;
0x6fcf	0xd829	;
0x6fd4	0xdd3d	;Q
0x6fd5	0xf4ae	;
0x6fd8	0xf4a2	;
0x6fdb	0xf4a6	;
0x6fdc	0xdd3f	;S
0x6fdd	0xdd45	;Y
0x6fde	0xdd43	;W
0x6fdf	0xf4a4	;
0x6fe0	0xf4a5	;
0x6fe1	0xf4ac	;
0x6fe2	0xdd46	;Z
0x6fe3	0xdd3e	;R
0x6fe4	0xf4a7	;
0x6fe6	0xdd42	;V
0x6fe7	0xdd41	;U
0x6fe8	0xdd47	;[
0x6fe9	0xf4ad	;
0x6feb	0xf4a8	;
0x6fec	0xf4ab	;
0x6fed	0xdd40	;T
0x6fee	0xf4af	;
0x6fef	0xf4a9	;
0x6ff0	0xf4b0	;
0x6ff1	0xf4a3	;
0x6ff2	0xdd44	;X
0x6ff4	0xdd3c	;P
0x6ff7	0xe225	;
0x6ffa	0xf6dd	;q
0x6ffb	0xe222	;
0x6ffc	0xe224	;
0x6ffe	0xf6db	;o
0x6fff	0xe17e	;
0x7000	0xe221	;
0x7001	0xe17a	;
0x7004	0xd823	;
0x7005	0xe17b	;
0x7006	0xf6dc	;p
0x7007	0xe177	;
0x7009	0xf6d9	;m
0x700a	0xe226	;
0x700b	0xf6da	;n
0x700c	0xe178	;
0x700d	0xe179	;
0x700e	0xe17d	;
0x700f	0xf6df	;s
0x7011	0xf6de	;r
0x7014	0xe17c	;
0x7015	0xf8c5	;x
0x7016	0xe56a	;_
0x7017	0xe570	;e
0x7018	0xf8c6	;y
0x7019	0xe567	;\
0x701a	0xf8c3	;v
0x701b	0xf8c0	;s
0x701c	0xe572	;g
0x701d	0xf8c4	;w
0x701f	0xf8c1	;t
0x7020	0xe569	;^
0x7021	0xe56c	;a
0x7022	0xe56d	;b
0x7023	0xe56e	;c
0x7024	0xe571	;f
0x7026	0xe223	;
0x7027	0xe568	;]
0x7028	0xf8c2	;u
0x7029	0xe56f	;d
0x702a	0xe934	;h
0x702b	0xe56b	;`
0x702f	0xe92b	;]
0x7030	0xf9f5	;j
0x7031	0xe92e	;`
0x7032	0xf9f6	;k
0x7033	0xe937	;h
0x7034	0xe92d	;_
0x7035	0xe92a	;\
0x7037	0xe92c	;^
0x7038	0xe930	;b
0x7039	0xe933	;e
0x703a	0xe932	;d
0x703b	0xe936	;g
0x703c	0xe929	;[
0x703e	0xf9f4	;i
0x703f	0xe931	;c
0x7040	0xe935	;f
0x7041	0xe938	;i
0x7042	0xe92f	;a
0x7043	0xeb61	;
0x7044	0xeb62	;
0x7045	0xeb66	;
0x7046	0xeb67	;
0x7048	0xeb64	;
0x7049	0xeb65	;
0x704a	0xeb63	;
0x704c	0xfaf4	;
0x7051	0xfbe4	;x
0x7052	0xed59	;
0x7055	0xed56	;
0x7056	0xed57	;
0x7057	0xed58	;
0x7058	0xfbe5	;y
0x705a	0xef34	;
0x705b	0xef33	;
0x705d	0xf03d	;
0x705e	0xfce0	;
0x705f	0xf03b	;
0x7060	0xf03e	;
0x7061	0xf03c	;
0x7062	0xf125	;
0x7063	0xfda4	;W
0x7064	0xfdb2	;e
0x7065	0xf171	;
0x7066	0xf15b	;l
0x7068	0xf170	;
0x7069	0xf23e	;
0x706a	0xf23f	;
0x706b	0xc5d6	;
0x7070	0xc8c8	;
0x7071	0xa261	;A
0x7074	0xa45e	;^
0x7076	0xcba2	;_
0x7078	0xcba5	;b
0x707a	0xa45f	;_
0x707c	0xcba3	;`
0x707d	0xcba4	;a
0x7082	0xa778	;X
0x7083	0xa77a	;Z
0x7084	0xa775	;U
0x7085	0xa772	;R
0x7086	0xa774	;T
0x708a	0xcee5	;
0x708e	0xcee3	;
0x7091	0xa776	;V
0x7092	0xcee4	;
0x7093	0xa773	;S
0x7094	0xa770	;P
0x7095	0xcee2	;
0x7096	0xa777	;W
0x7098	0xa771	;Q
0x7099	0xcee6	;
0x709a	0xa779	;Y
0x709f	0xab6f	;ϯ
0x70a1	0xab73	;ϳ
0x70a4	0xd2ba	;
0x70a9	0xab76	;϶
0x70ab	0xd2b2	;
0x70ac	0xd2b5	;
0x70ad	0xd2b7	;
0x70ae	0xd2b9	;
0x70af	0xd2b6	;
0x70b0	0xab72	;ϲ
0x70b1	0xab71	;ϱ
0x70b3	0xd2b4	;
0x70b4	0xab74	;ϴ
0x70b5	0xab75	;ϵ
0x70b7	0xab6e	;Ϯ
0x70b8	0xd2b8	;
0x70ba	0xd2b3	;
0x70be	0xab70	;ϰ
0x70c5	0xb05a	;w
0x70c6	0xb05b	;x
0x70c7	0xb05c	;y
0x70c8	0xd6d3	;P
0x70ca	0xd6cf	;L
0x70cb	0xb051	;n
0x70cd	0xb059	;v
0x70ce	0xb05e	;{
0x70cf	0xd6d4	;Q
0x70d1	0xb04f	;l
0x70d2	0xb055	;r
0x70d3	0xb04e	;k
0x70d4	0xb058	;u
0x70d7	0xb054	;q
0x70d8	0xd6d0	;M
0x70d9	0xd6d2	;O
0x70da	0xb05d	;z
0x70dc	0xb04d	;j
0x70dd	0xb050	;m
0x70de	0xb056	;s
0x70e0	0xb057	;t
0x70e1	0xb05f	;|
0x70e2	0xb053	;p
0x70e4	0xd6d1	;N
0x70ef	0xdbf2	;m
0x70f0	0xb671	;N
0x70f3	0xb673	;P
0x70f4	0xb66f	;L
0x70f6	0xb67b	;X
0x70f7	0xb66d	;J
0x70f8	0xb67a	;W
0x70f9	0xdbee	;i
0x70fa	0xb66b	;H
0x70fb	0xbd5f	;[
0x70fc	0xb675	;R
0x70fd	0xdbf1	;l
0x70ff	0xb676	;S
0x7100	0xb679	;V
0x7102	0xb67d	;Z
0x7104	0xb672	;O
0x7106	0xb677	;T
0x7109	0xdbef	;j
0x710a	0xdbf0	;k
0x710b	0xb67c	;Y
0x710c	0xb670	;M
0x710d	0xb66c	;I
0x710e	0xb67e	;[
0x7110	0xb674	;Q
0x7113	0xb678	;U
0x7117	0xb66e	;K
0x7119	0xe0ce	;H
0x711a	0xe0cf	;I
0x711b	0xbd69	;e
0x711c	0xe0d5	;O
0x711e	0xbd5d	;Y
0x711f	0xbd66	;b
0x7120	0xbd5c	;X
0x7121	0xe0d2	;L
0x7122	0xbd64	;`
0x7123	0xbd62	;^
0x7125	0xbd63	;_
0x7126	0xe0d0	;J
0x7128	0xbd67	;c
0x712e	0xbd60	;\
0x712f	0xbd5e	;Z
0x7130	0xe0d1	;K
0x7131	0xbd61	;]
0x7132	0xbd65	;a
0x7136	0xe0d3	;M
0x713a	0xbd68	;d
0x7141	0xc456	;p
0x7142	0xc45d	;w
0x7143	0xc45f	;y
0x7144	0xc465	;ޡ
0x7146	0xe5a2	;
0x7147	0xc451	;k
0x7149	0xe4f8	;
0x714b	0xc460	;z
0x714c	0xe4fd	;
0x714d	0xc466	;ޢ
0x714e	0xe4f4	;
0x7150	0xc463	;}
0x7152	0xc453	;m
0x7153	0xc464	;~
0x7154	0xc452	;l
0x7156	0xe5a4	;
0x7158	0xc45e	;x
0x7159	0xe4f5	;
0x715a	0xc467	;ޣ
0x715c	0xe4fa	;
0x715d	0xc457	;q
0x715e	0xe5a1	;
0x715f	0xc462	;|
0x7160	0xc455	;o
0x7161	0xc45c	;v
0x7162	0xc458	;r
0x7163	0xc454	;n
0x7164	0xe4f7	;
0x7165	0xe4fe	;
0x7166	0xe4fc	;
0x7167	0xe4f9	;
0x7168	0xe5a3	;
0x7169	0xe4f6	;
0x716a	0xc45b	;u
0x716c	0xe4fb	;
0x716e	0xe0d4	;N
0x7170	0xc461	;{
0x7172	0xc459	;s
0x7178	0xc45a	;t
0x717b	0xcb67	;
0x717d	0xe9db	;
0x7180	0xcb63	;
0x7181	0xcb69	;
0x7182	0xcb65	;
0x7184	0xe9dd	;
0x7185	0xcb64	;
0x7186	0xcb68	;
0x7187	0xcb60	;
0x7189	0xcb62	;
0x718a	0xe9dc	;
0x718f	0xcb66	;
0x7190	0xcb61	;
0x7192	0xe9de	;
0x7194	0xe9d9	;
0x7197	0xcb6a	;
0x7199	0xe9da	;
0x719a	0xd16f	;g
0x719b	0xd16c	;d
0x719c	0xd178	;p
0x719d	0xd172	;j
0x719e	0xd174	;l
0x719f	0xedde	;
0x71a0	0xd16e	;f
0x71a1	0xd176	;n
0x71a4	0xd175	;m
0x71a5	0xd173	;k
0x71a7	0xd179	;q
0x71a8	0xede1	;
0x71a9	0xd170	;h
0x71aa	0xd177	;o
0x71ac	0xeddf	;
0x71af	0xd16b	;c
0x71b0	0xd16d	;e
0x71b1	0xede0	;
0x71b2	0xd16a	;b
0x71b3	0xd17a	;r
0x71b5	0xd171	;i
0x71b8	0xd836	;J
0x71b9	0xf1bb	;Q
0x71bc	0xd841	;U
0x71bd	0xd83f	;S
0x71be	0xf1b5	;K
0x71bf	0xd835	;I
0x71c0	0xd838	;L
0x71c1	0xd839	;M
0x71c2	0xd834	;H
0x71c3	0xf1bf	;U
0x71c4	0xf1c0	;V
0x71c5	0xd833	;G
0x71c6	0xd842	;V
0x71c7	0xd83d	;Q
0x71c8	0xf1b9	;O
0x71c9	0xf1b6	;L
0x71ca	0xd83c	;P
0x71cb	0xd83a	;N
0x71ce	0xf1bc	;R
0x71cf	0xd83e	;R
0x71d0	0xf1b7	;M
0x71d2	0xf1b8	;N
0x71d4	0xd83b	;O
0x71d5	0xf1ba	;P
0x71d6	0xd837	;K
0x71d8	0xd840	;T
0x71d9	0xf1bd	;S
0x71da	0xd843	;W
0x71db	0xd844	;X
0x71dc	0xf1be	;T
0x71df	0xf4b2	;
0x71e0	0xf4b9	;
0x71e1	0xdd48	;\
0x71e2	0xdd4e	;b
0x71e4	0xdd4c	;`
0x71e5	0xf4b5	;
0x71e6	0xf4b4	;
0x71e7	0xf4b1	;
0x71e8	0xdd4a	;^
0x71ec	0xf4b7	;
0x71ed	0xf4b6	;
0x71ee	0xf4b3	;
0x71f0	0xdd4d	;a
0x71f1	0xdd49	;]
0x71f2	0xdd4b	;_
0x71f4	0xf4b8	;
0x71f8	0xf6e3	;w
0x71f9	0xe229	;
0x71fb	0xf6e0	;t
0x71fc	0xf6e1	;u
0x71fd	0xe22b	;
0x71fe	0xf6e2	;v
0x71ff	0xe228	;
0x7201	0xe227	;
0x7202	0xe576	;l
0x7203	0xe22a	;
0x7205	0xe577	;m
0x7206	0xf8c7	;z
0x7207	0xe575	;k
0x720a	0xe574	;j
0x720c	0xe573	;i
0x720d	0xf8c8	;{
0x7210	0xf9f7	;l
0x7213	0xe939	;j
0x7214	0xe93a	;k
0x7219	0xeb6a	;
0x721a	0xeb69	;
0x721b	0xfaf5	;
0x721d	0xeb68	;
0x721e	0xed5a	;
0x721f	0xed5b	;
0x7222	0xef35	;
0x7223	0xf03f	;
0x7226	0xf126	;
0x7227	0xf22c	;
0x7228	0xfdc6	;y
0x7229	0xf240	;
0x722a	0xc5d7	;
0x722c	0xcee7	;
0x722d	0xcee8	;
0x7230	0xd2bb	;
0x7235	0xf4ba	;
0x7236	0xc5d8	;
0x7238	0xcee9	;
0x7239	0xd6d5	;R
0x723a	0xe5a5	;
0x723b	0xc5d9	;
0x723d	0xdbf3	;n
0x723e	0xe9df	;
0x723f	0xa142	;b
0x7241	0xab77	;Ϸ
0x7242	0xb060	;}
0x7244	0xcb6b	;
0x7246	0xf4bb	;
0x7247	0xc5da	;
0x7248	0xceea	;
0x7249	0xab78	;ϸ
0x724a	0xab79	;Ϲ
0x724b	0xbd6a	;f
0x724c	0xe0d6	;P
0x724f	0xc468	;ޤ
0x7252	0xe5a6	;
0x7253	0xcb6c	;
0x7256	0xede2	;
0x7258	0xf8c9	;|
0x7259	0xc5db	;
0x725a	0xbd6b	;g
0x725b	0xc5dc	;
0x725d	0xc8ca	;
0x725e	0xa262	;B
0x725f	0xc8c9	;
0x7260	0xcba8	;e
0x7261	0xcba7	;d
0x7262	0xcba6	;c
0x7263	0xa460	;`
0x7267	0xceeb	;
0x7269	0xceec	;
0x726a	0xa77b	;[
0x726c	0xab7a	;Ϻ
0x726e	0xab7d	;Ͻ
0x726f	0xd2bd	;
0x7270	0xab7b	;ϻ
0x7272	0xd2bc	;
0x7273	0xab7c	;ϼ
0x7274	0xd2be	;
0x7276	0xb063	;Ң
0x7277	0xb062	;ҡ
0x7278	0xb061	;~
0x7279	0xd6d6	;S
0x727b	0xb722	;]
0x727c	0xb723	;^
0x727d	0xdbf4	;o
0x727e	0xb721	;\
0x727f	0xb724	;_
0x7280	0xe0d8	;R
0x7281	0xdbf5	;p
0x7284	0xe0d7	;Q
0x7285	0xbd6f	;k
0x7286	0xbd6e	;j
0x7288	0xbd6c	;h
0x7289	0xbd6d	;i
0x728b	0xbd70	;l
0x728c	0xc46a	;ަ
0x728d	0xc469	;ޥ
0x728e	0xc46d	;ީ
0x7290	0xc46c	;ި
0x7291	0xc46b	;ާ
0x7292	0xe9e0	;
0x7293	0xcb6f	;
0x7295	0xcb6e	;
0x7296	0xe9e1	;
0x7297	0xcb6d	;
0x7298	0xd17b	;s
0x729a	0xd17c	;t
0x729b	0xede3	;
0x729d	0xd845	;Y
0x729e	0xd846	;Z
0x72a1	0xe57c	;r
0x72a2	0xf8ca	;}
0x72a3	0xe57b	;q
0x72a4	0xe57a	;p
0x72a5	0xe578	;n
0x72a6	0xe579	;o
0x72a7	0xfaf6	;
0x72a8	0xe93b	;l
0x72a9	0xed5c	;
0x72aa	0xf127	;
0x72ac	0xc5dd	;
0x72ae	0xa164	;ɥ
0x72af	0xc6e7	;
0x72b0	0xa165	;ɦ
0x72b4	0xa263	;C
0x72b5	0xa264	;D
0x72ba	0xa466	;f
0x72bd	0xa462	;b
0x72bf	0xa461	;a
0x72c0	0xceed	;
0x72c1	0xa465	;e
0x72c2	0xcbaa	;g
0x72c3	0xa463	;c
0x72c4	0xcba9	;f
0x72c5	0xa467	;g
0x72c6	0xa464	;d
0x72c9	0xa821	;_
0x72ca	0xab7e	;Ͼ
0x72cb	0xa77d	;]
0x72cc	0xa826	;d
0x72ce	0xceee	;
0x72d0	0xcef1	;
0x72d1	0xa827	;e
0x72d2	0xa823	;a
0x72d4	0xa824	;b
0x72d6	0xa77c	;\
0x72d7	0xcef0	;
0x72d8	0xa77e	;^
0x72d9	0xceef	;
0x72da	0xa825	;c
0x72dc	0xa822	;`
0x72df	0xac24	;
0x72e0	0xd2c0	;
0x72e1	0xd2c1	;
0x72e3	0xac27	;
0x72e4	0xac21	;Ͽ
0x72e6	0xac26	;
0x72e8	0xac22	;
0x72e9	0xd2bf	;
0x72ea	0xac25	;
0x72eb	0xac23	;
0x72f3	0xb069	;Ҩ
0x72f4	0xb066	;ҥ
0x72f6	0xb068	;ҧ
0x72f7	0xd6db	;X
0x72f8	0xd6da	;W
0x72f9	0xd6d8	;U
0x72fa	0xb065	;Ҥ
0x72fb	0xb06a	;ҩ
0x72fc	0xd6d7	;T
0x72fd	0xd6d9	;V
0x72fe	0xb067	;Ҧ
0x72ff	0xb72c	;g
0x7300	0xb064	;ң
0x7301	0xb06b	;Ҫ
0x7307	0xb727	;b
0x7308	0xb72b	;f
0x730a	0xb72a	;e
0x730b	0xbd72	;n
0x730c	0xbd7d	;y
0x730f	0xb72d	;h
0x7311	0xb728	;c
0x7312	0xbd71	;m
0x7313	0xdbf9	;t
0x7316	0xdbf8	;s
0x7317	0xb726	;a
0x7318	0xb729	;d
0x7319	0xdbfa	;u
0x731b	0xdbf7	;r
0x731c	0xdbf6	;q
0x731d	0xb725	;`
0x731e	0xb72e	;i
0x7322	0xbd74	;p
0x7323	0xbd7b	;w
0x7325	0xe0da	;T
0x7326	0xbd7a	;v
0x7327	0xbd77	;s
0x7329	0xe0dc	;V
0x732d	0xbd79	;u
0x7330	0xbd73	;o
0x7331	0xbd75	;q
0x7332	0xbd78	;t
0x7333	0xbd76	;r
0x7334	0xe0db	;U
0x7335	0xbd7c	;x
0x7336	0xe0d9	;S
0x7337	0xe5a7	;
0x733a	0xc471	;ޭ
0x733b	0xc470	;ެ
0x733c	0xc46e	;ު
0x733e	0xe5aa	;
0x733f	0xe5a9	;
0x7340	0xc472	;ޮ
0x7342	0xc46f	;ޫ
0x7343	0xcb70	;
0x7344	0xe9e2	;
0x7345	0xe5a8	;
0x7349	0xc474	;ް
0x734a	0xc473	;ޯ
0x734c	0xcb73	;
0x734d	0xcb71	;
0x734e	0xede4	;
0x7350	0xe9e3	;
0x7351	0xcb72	;
0x7352	0xd17e	;v
0x7357	0xede5	;
0x7358	0xd17d	;u
0x7359	0xd228	;~
0x735a	0xd227	;}
0x735b	0xd225	;{
0x735d	0xd224	;z
0x735e	0xd221	;w
0x735f	0xd222	;x
0x7360	0xd223	;y
0x7361	0xd226	;|
0x7362	0xd229	;
0x7365	0xd84b	;_
0x7366	0xd848	;\
0x7367	0xd849	;]
0x7368	0xf1c1	;W
0x7369	0xd847	;[
0x736a	0xd84d	;a
0x736b	0xd84c	;`
0x736c	0xd84a	;^
0x736e	0xdd50	;d
0x736f	0xdd51	;e
0x7370	0xf4bc	;
0x7372	0xf4bd	;
0x7373	0xdd4f	;c
0x7375	0xf6e5	;y
0x7376	0xe22c	;
0x7377	0xf6e4	;x
0x7378	0xf8cb	;~
0x737a	0xf8cc	;á
0x737b	0xf9f8	;m
0x737c	0xe93d	;n
0x737d	0xe93c	;m
0x737e	0xeb6b	;
0x737f	0xed5d	;
0x7380	0xfbe6	;z
0x7381	0xef37	;
0x7382	0xef36	;
0x7383	0xef38	;
0x7384	0xc6e8	;
0x7385	0xac28	;
0x7386	0xd6dc	;Y
0x7387	0xdbfb	;v
0x7388	0xb72f	;j
0x7389	0xc6e9	;
0x738a	0xa166	;ɧ
0x738b	0xc5de	;
0x738e	0xa265	;E
0x7392	0xa46c	;l
0x7393	0xa46a	;j
0x7394	0xa46b	;k
0x7395	0xa468	;h
0x7396	0xcbab	;h
0x7397	0xa469	;i
0x739d	0xa82f	;m
0x739f	0xcef4	;
0x73a0	0xa82d	;k
0x73a1	0xa829	;g
0x73a2	0xa82c	;j
0x73a4	0xa828	;f
0x73a5	0xcef6	;
0x73a6	0xa82b	;i
0x73a8	0xcef3	;
0x73a9	0xcef2	;
0x73ab	0xcef5	;
0x73ac	0xa82e	;l
0x73ad	0xa82a	;h
0x73b2	0xd2c5	;
0x73b3	0xd2c8	;
0x73b4	0xac30	;
0x73b5	0xac2f	;
0x73b6	0xac2e	;
0x73b7	0xd2c2	;
0x73b8	0xac37	;
0x73b9	0xac2d	;
0x73bb	0xd2c4	;
0x73bc	0xb070	;ү
0x73be	0xac34	;
0x73bf	0xac32	;
0x73c0	0xd2c7	;
0x73c2	0xac2a	;
0x73c3	0xac35	;
0x73c5	0xac2c	;
0x73c6	0xac36	;
0x73c7	0xac33	;
0x73c8	0xac2b	;
0x73ca	0xd2c3	;
0x73cb	0xac38	;
0x73cc	0xac29	;
0x73cd	0xd2c6	;
0x73d2	0xb075	;Ҵ
0x73d3	0xb06c	;ҫ
0x73d4	0xb077	;Ҷ
0x73d6	0xb06f	;Ү
0x73d7	0xb07a	;ҹ
0x73d8	0xb07b	;Һ
0x73d9	0xb06d	;Ҭ
0x73da	0xb079	;Ҹ
0x73db	0xb076	;ҵ
0x73dc	0xb074	;ҳ
0x73dd	0xb078	;ҷ
0x73de	0xd6e2	;_
0x73e0	0xd6e0	;]
0x73e3	0xb072	;ұ
0x73e5	0xb06e	;ҭ
0x73e7	0xb071	;Ұ
0x73e8	0xb07c	;һ
0x73e9	0xb073	;Ҳ
0x73ea	0xd6e1	;^
0x73eb	0xac31	;
0x73ed	0xd6dd	;Z
0x73ee	0xd6df	;\
0x73f4	0xb73d	;x
0x73f5	0xb732	;m
0x73f6	0xb730	;k
0x73f8	0xb731	;l
0x73fa	0xb738	;s
0x73fc	0xb739	;t
0x73fd	0xb735	;p
0x73fe	0xdca2	;{
0x73ff	0xb73a	;u
0x7400	0xb737	;r
0x7401	0xb734	;o
0x7403	0xdbfe	;y
0x7404	0xb733	;n
0x7405	0xdbfc	;w
0x7406	0xdca1	;z
0x7407	0xb736	;q
0x7408	0xb73e	;y
0x7409	0xd6de	;[
0x740a	0xdbfd	;x
0x740b	0xb73c	;w
0x740c	0xb73b	;v
0x740d	0xdca3	;|
0x7416	0xbe24	;~
0x741a	0xbe25	;ڡ
0x741b	0xe0e6	;`
0x741d	0xbe2b	;ڧ
0x7420	0xbe2d	;ک
0x7421	0xbe26	;ڢ
0x7422	0xe0e0	;Z
0x7423	0xbe2a	;ڦ
0x7424	0xbe29	;ڥ
0x7425	0xe0e1	;[
0x7426	0xe0e7	;a
0x7428	0xe0e8	;b
0x7429	0xbe2c	;ڨ
0x742a	0xe0de	;X
0x742b	0xbe23	;}
0x742c	0xbe21	;{
0x742d	0xbe27	;ڣ
0x742e	0xbd7e	;z
0x742f	0xe0e5	;_
0x7430	0xbe22	;|
0x7431	0xbe28	;ڤ
0x7432	0xbe2e	;ڪ
0x7433	0xe0df	;Y
0x7434	0xe0e4	;^
0x7435	0xe0e2	;\
0x7436	0xe0e3	;]
0x743a	0xe0dd	;W
0x743f	0xe5b1	;
0x7440	0xc47b	;޷
0x7441	0xe5b0	;
0x7442	0xc521	;޻
0x7444	0xc475	;ޱ
0x7446	0xc522	;޼
0x744a	0xc476	;޲
0x744b	0xc477	;޳
0x744d	0xc523	;޽
0x744e	0xc47e	;޺
0x744f	0xc47c	;޸
0x7450	0xc47d	;޹
0x7451	0xc479	;޵
0x7452	0xc478	;޴
0x7454	0xc524	;޾
0x7455	0xe5ad	;
0x7457	0xc47a	;޶
0x7459	0xe5b2	;
0x745a	0xe5ac	;
0x745b	0xe5b3	;
0x745c	0xe5b4	;
0x745e	0xe5af	;
0x745f	0xe5ae	;
0x7462	0xcb74	;
0x7463	0xe9e5	;
0x7464	0xe9e4	;
0x7467	0xcb79	;
0x7469	0xede6	;
0x746a	0xe9e6	;
0x746d	0xe9e8	;
0x746e	0xcb7a	;
0x746f	0xe5ab	;
0x7470	0xe9e7	;
0x7471	0xcb76	;
0x7472	0xcb78	;
0x7473	0xcb75	;
0x7475	0xcb77	;
0x7479	0xd233	;
0x747c	0xd232	;
0x747d	0xd22f	;
0x747e	0xede9	;@
0x747f	0xd84e	;b
0x7480	0xedea	;A
0x7481	0xd22e	;
0x7483	0xede8	;
0x7485	0xd230	;
0x7486	0xd22d	;
0x7487	0xd22a	;
0x7488	0xd231	;
0x7489	0xd22b	;
0x748a	0xd22c	;
0x748b	0xede7	;
0x7490	0xdd55	;i
0x7492	0xd852	;f
0x7494	0xd851	;e
0x7495	0xd853	;g
0x7497	0xdd52	;f
0x7498	0xf1c4	;Z
0x749a	0xd84f	;c
0x749c	0xf1c2	;X
0x749e	0xf1c6	;\
0x749f	0xf1c5	;[
0x74a0	0xd850	;d
0x74a1	0xd854	;h
0x74a3	0xf1c3	;Y
0x74a5	0xdd59	;m
0x74a6	0xf4c0	;
0x74a7	0xf6e6	;z
0x74a8	0xf4c1	;
0x74a9	0xf4be	;
0x74aa	0xdd56	;j
0x74ab	0xdd54	;h
0x74ad	0xdd57	;k
0x74af	0xdd5a	;n
0x74b0	0xf4bf	;
0x74b1	0xdd58	;l
0x74b2	0xdd53	;g
0x74b5	0xe22f	;B
0x74b6	0xe232	;E
0x74b7	0xe621	;u
0x74b8	0xe22d	;@
0x74ba	0xe93e	;o
0x74bb	0xe233	;F
0x74bd	0xf8cd	;â
0x74be	0xe231	;D
0x74bf	0xf6e7	;{
0x74c0	0xe22e	;A
0x74c1	0xe230	;C
0x74c2	0xe234	;G
0x74c3	0xe622	;v
0x74c5	0xe57e	;t
0x74ca	0xf8ce	;ã
0x74cb	0xe57d	;s
0x74cf	0xf9f9	;n
0x74d4	0xfaf8	;
0x74d5	0xed5f	;
0x74d6	0xfaf7	;
0x74d7	0xed61	;
0x74d8	0xed5e	;
0x74d9	0xed60	;
0x74da	0xfcbc	;
0x74db	0xf040	;
0x74dc	0xc6ea	;
0x74dd	0xa830	;n
0x74de	0xb07d	;Ҽ
0x74df	0xb07e	;ҽ
0x74e0	0xdca4	;}
0x74e1	0xc525	;޿
0x74e2	0xf1c7	;]
0x74e3	0xf8cf	;ä
0x74e4	0xfbe7	;{
0x74e5	0xf041	;
0x74e6	0xc6eb	;
0x74e8	0xa831	;o
0x74e9	0xa3a2	;`
0x74ec	0xac39	;
0x74ee	0xac3a	;
0x74f4	0xb121	;Ҿ
0x74f5	0xb122	;ҿ
0x74f6	0xdca5	;~
0x74f7	0xdca6	;
0x74fb	0xbe2f	;ګ
0x74fd	0xc528	;
0x74fe	0xc527	;
0x74ff	0xc526	;
0x7500	0xcb7b	;
0x7502	0xcb7c	;
0x7503	0xcb7d	;
0x7504	0xe9e9	;
0x7507	0xd235	;
0x7508	0xd234	;
0x750b	0xd855	;i
0x750c	0xf1c8	;^
0x750d	0xf1c9	;_
0x750f	0xdd5e	;r
0x7510	0xdd5b	;o
0x7511	0xdd5c	;p
0x7512	0xdd5d	;q
0x7513	0xe236	;I
0x7514	0xe235	;H
0x7515	0xf6e8	;|
0x7516	0xe623	;w
0x7517	0xeb6c	;
0x7518	0xc6ec	;
0x751a	0xd2c9	;
0x751c	0xdca7	;
0x751d	0xc529	;
0x751f	0xc6ed	;
0x7521	0xb123	;
0x7522	0xdca8	;
0x7525	0xe0e9	;c
0x7526	0xe0ea	;d
0x7528	0xc6ee	;
0x7529	0xc6ef	;
0x752a	0xa266	;F
0x752b	0xcbad	;j
0x752c	0xcbac	;i
0x752d	0xd2ca	;
0x752e	0xac3b	;
0x752f	0xbe30	;ڬ
0x7530	0xc6f0	;
0x7531	0xc6f1	;
0x7532	0xc6f2	;
0x7533	0xc6f3	;
0x7537	0xcbae	;k
0x7538	0xcbaf	;l
0x7539	0xa46e	;n
0x753a	0xa46d	;m
0x753d	0xcef7	;
0x753e	0xa834	;r
0x753f	0xa832	;p
0x7540	0xa833	;q
0x7547	0xac3c	;
0x7548	0xac3d	;
0x754b	0xd2ce	;
0x754c	0xd2cc	;
0x754e	0xd2cd	;
0x754f	0xd2cb	;
0x7554	0xd6e3	;`
0x7559	0xd6e7	;d
0x755a	0xd6e6	;c
0x755b	0xb124	;
0x755c	0xd6e5	;b
0x755d	0xd6e4	;a
0x755f	0xb125	;
0x7562	0xdcab	;
0x7563	0xb740	;{
0x7564	0xb73f	;z
0x7565	0xdca9	;
0x7566	0xdcaa	;
0x756a	0xe0ec	;f
0x756b	0xe0eb	;e
0x756c	0xbe32	;ڮ
0x756f	0xbe31	;ڭ
0x7570	0xdcac	;
0x7576	0xe5b5	;
0x7577	0xc52b	;
0x7578	0xe5b6	;
0x7579	0xc52a	;
0x757d	0xcb7e	;
