0x587b	;
0x7f9e	0x5b7a	;
0x7fa4	0x52b1	;
0x7fa8	0x5a96	;
0x7fa9	0x5f76	;
0x7fb2	0x67c0	;
0x7fb8	0x6968	;
0x7fb9	0x50c3	;
0x7fbd	0x5e84	;
0x7fc1	0x5dd8	;
0x7fc5	0x5bde	;
0x7fca	0x5f97	;
0x7fcc	0x5f98	;
0x7fce	0x5590	;
0x7fd2	0x5bbb	;
0x7fd4	0x59fd	;
0x7fd5	0x6c41	;
0x7fdf	0x6b5c	;
0x7fe0	0x6445	;
0x7fe1	0x595f	;
0x7fe9	0x654f	;
0x7feb	0x5dea	;
0x7ff0	0x65c4	;
0x7ff9	0x5264	;
0x7ffc	0x5f95	;
0x8000	0x5e52	;
0x8001	0x55a4	;
0x8003	0x51a1	;
0x8005	0x5fcf	;
0x8006	0x5385	;
0x8009	0x6880	;
0x800c	0x5f8e	;
0x8010	0x53b3	;
0x8015	0x5168	;
0x8017	0x56ee	;
0x8018	0x5e96	;
0x802d	0x5386	;
0x8033	0x5f8f	;
0x8036	0x5cc0	;
0x803d	0x64a7	;
0x803f	0x5169	;
0x8043	0x53f7	;
0x8046	0x6953	;
0x804a	0x55d1	;
0x8056	0x5ac4	;
0x8058	0x5982	;
0x805a	0x6446	;
0x805e	0x576c	;
0x806f	0x5575	;
0x8070	0x63bf	;
0x8072	0x5ac5	;
0x8073	0x5e6a	;
0x8077	0x6271	;
0x807d	0x637f	;
0x807e	0x55be	;
0x807f	0x5f4f	;
0x8084	0x6af0	;
0x8085	0x5b97	;
0x8086	0x59bf	;
0x8087	0x618d	;
0x8089	0x5f45	;
0x808b	0x55fa	;
0x808c	0x5387	;
0x8096	0x63a3	;
0x809b	0x65e9	;
0x809d	0x5078	;
0x80a1	0x51a2	;
0x80a2	0x6263	;
0x80a5	0x5960	;
0x80a9	0x50f2	;
0x80aa	0x57d4	;
0x80af	0x5357	;
0x80b1	0x5253	;
0x80b2	0x5f46	;
0x80b4	0x676f	;
0x80ba	0x655e	;
0x80c3	0x5ec9	;
0x80c4	0x61d5	;
0x80cc	0x57ec	;
0x80ce	0x64b9	;
0x80da	0x57eb	;
0x80db	0x5099	;
0x80de	0x6574	;
0x80e1	0x66b2	;
0x80e4	0x5f4d	;
0x80e5	0x5a68	;
0x80f1	0x5243	;
0x80f4	0x54aa	;
0x80f8	0x67a0	;
0x80fd	0x53cf	;
0x8102	0x6264	;
0x8105	0x667d	;
0x8106	0x6447	;
0x8107	0x667c	;
0x8108	0x56b5	;
0x810a	0x6349	;
0x8118	0x6a9b	;
0x811a	0x5063	;
