0x587b	;
0xf8	0xebba	;
0xf9	0xebbb	;
0xfa	0xebbc	;
0xfb	0xebbd	;
0xfc	0xebbe	;
0xfd	0xebbf	;

DBCSTABLE	188	;LeadByte = 0xd2

0x41	0xebc0	;
0x42	0xebc1	;
0x43	0xebc2	;
0x44	0xebc3	;
0x45	0xebc4	;
0x46	0xebc5	;
0x47	0xebc6	;
0x48	0xebc7	;
0x49	0xebc8	;
0x4a	0xebc9	;
0x4b	0xebca	;
0x4c	0xebcb	;
0x4d	0xebcc	;
0x4e	0xebcd	;
0x4f	0xebce	;
0x50	0xebcf	;
0x51	0xebd0	;
0x52	0xebd1	;
0x53	0xebd2	;
0x54	0xebd3	;
0x55	0xebd4	;
0x56	0xebd5	;
0x57	0xebd6	;
0x58	0xebd7	;
0x59	0xebd8	;
0x5a	0xebd9	;
0x5b	0xebda	;
0x5c	0xebdb	;
0x5d	0xebdc	;
0x5e	0xebdd	;
0x5f	0xebde	;
0x60	0xebdf	;
0x61	0xebe0	;
0x62	0xebe1	;
0x63	0xebe2	;
0x64	0xebe3	;
0x65	0xebe4	;
0x66	0xebe5	;
0x67	0xebe6	;
0x68	0xebe7	;
0x69	0xebe8	;
0x6a	0xebe9	;
0x6b	0xebea	;
0x6c	0xebeb	;
0x6d	0xebec	;
0x6e	0xebed	;
0x6f	0xebee	;
0x70	0xebef	;
0x71	0xebf0	;
0x72	0xebf1	;
0x73	0xebf2	;
0x74	0xebf3	;
0x75	0xebf4	;
0x76	0xebf5	;
0x77	0xebf6	;
0x78	0xebf7	;
0x79	0xebf8	;
0x7a	0xebf9	;
0x7b	0xebfa	;
0x7c	0xebfb	;
0x7d	0xebfc	;
0x7e	0xebfd	;
0x7f	0xebfe	;
0x81	0xebff	;
0x82	0xec00	;
0x83	0xec01	;
0x84	0xec02	;
0x85	0xec03	;
0x86	0xec04	;
0x87	0xec05	;
0x88	0xec06	;
0x89	0xec07	;
0x8a	0xec08	;
0x8b	0xec09	;
0x8c	0xec0a	;
0x8d	0xec0b	;
0x8e	0xec0c	;
0x8f	0xec0d	;
0x90	0xec0e	;
0x91	0xec0f	;
0x92	0xec10	;
0x93	0xec11	;
0x94	0xec12	;
0x95	0xec13	;
0x96	0xec14	;
0x97	0xec15	;
0x98	0xec16	;
0x99	0xec17	;
0x9a	0xec18	;
0x9b	0xec19	;
0x9c	0xec1a	;
0x9d	0xec1b	;
0x9e	0xec1c	;
0x9f	0xec1d	;
0xa0	0xec1e	;
0xa1	0xec1f	;
0xa2	0xec20	;
0xa3	0xec21	;
0xa4	0xec22	;
0xa5	0xec23	;
0xa6	0xec24	;
0xa7	0xec25	;
0xa8	0xec26	;
0xa9	0xec27	;
0xaa	0xec28	;
0xab	0xec29	;
0xac	0xec2a	;
0xad	0xec2b	;
0xae	0xec2c	;
0xaf	0xec2d	;
0xb0	0xec2e	;
0xb1	0xec2f	;
0xb2	0xec30	;
0xb3	0xec31	;
0xb4	0xec32	;
0xb5	0xec33	;
0xb6	0xec34	;
0xb7	0xec35	;
0xb8	0xec36	;
0xb9	0xec37	;
0xba	0xec38	;
0xbb	0xec39	;
0xbc	0xec3a	;
0xbd	0xec3b	;
0xbe	0xec3c	;
0xbf	0xec3d	;
0xc0	0xec3e	;
0xc1	0xec3f	;
0xc2	0xec40	;
0xc3	0xec41	;
0xc4	0xec42	;
0xc5	0xec43	;
0xc6	0xec44	;
0xc7	0xec45	;
0xc8	0xec46	;
0xc9	0xec47	;
0xca	0xec48	;
0xcb	0xec49	;
0xcc	0xec4a	;
0xcd	0xec4b	;
0xce	0xec4c	;
0xcf	0xec4d	;
0xd0	0xec4e	;
0xd1	0xec4f	;
0xd2	0xec50	;
0xd3	0xec51	;
0xd4	0xec52	;
0xd5	0xec53	;
0xd6	0xec54	;
0xd7	0xec55	;
0xd8	0xec56	;
0xd9	0xec57	;
0xda	0xec58	;
0xdb	0xec59	;
0xdc	0xec5a	;
0xdd	0xec5b	;
0xde	0xec5c	;
0xdf	0xec5d	;
0xe0	0xec5e	;
0xe1	0xec5f	;
0xe2	0xec60	;
0xe3	0xec61	;
0xe4	0xec62	;
0xe5	0xec63	;
0xe6	0xec64	;
0xe7	0xec65	;
0xe8	0xec66	;
0xe9	0xec67	;
0xea	0xec68	;
0xeb	0xec69	;
0xec	0xec6a	;
0xed	0xec6b	;
0xee	0xec6c	;
0xef	0xec6d	;
0xf0	0xec6e	;
0xf1	0xec6f	;
0xf2	0xec70	;
0xf3	0xec71	;
0xf4	0xec72	;
0xf5	0xec73	;
0xf6	0xec74	;
0xf7	0xec75	;
0xf8	0xec76	;
0xf9	0xec77	;
0xfa	0xec78	;
0xfb	0xec79	;
0xfc	0xec7a	;
0xfd	0xec7b	;

DBCSTABLE	188	;LeadByte = 0xd3

0x41	0xec7c	;
0x42	0xec7d	;
0x43	0xec7e	;
0x44	0xec7f	;
0x45	0xec80	;
0x46	0xec81	;
0x47	0xec82	;
0x48	0xec83	;
0x49	0xec84	;
0x4a	0xec85	;
0x4b	0xec86	;
0x4c	0xec87	;
0x4d	0xec88	;
0x4e	0xec89	;
0x4f	0xec8a	;
0x50	0xec8b	;
0x51	0xec8c	;
0x52	0xec8d	;
0x53	0xec8e	;
0x54	0xec8f	;
0x55	0xec90	;
0x56	0xec91	;
0x57	0xec92	;
0x58	0xec93	;
0x59	0xec94	;
0x5a	0xec95	;
0x5b	0xec96	;
0x5c	0xec97	;
0x5d	0xec98	;
0x5e	0xec99	;
0x5f	0xec9a	;
0x60	0xec9b	;
0x61	0xec9c	;
0x62	0xec9d	;
0x63	0xec9e	;
0x64	0xec9f	;
0x65	0xeca0	;
0x66	0xeca1	;
0x67	0xeca2	;
0x68	0xeca3	;
0x69	0xeca4	;
0x6a	0xeca5	;
0x6b	0xeca6	;
0x6c	0xeca7	;
0x6d	0xeca8	;
0x6e	0xeca9	;
0x6f	0xecaa	;
0x70	0xecab	;
0x71	0xecac	;
0x72	0xecad	;
0x73	0xecae	;
0x74	0xecaf	;
0x75	0xecb0	;
0x76	0xecb1	;
0x77	0xecb2	;
0x78	0xecb3	;
0x79	0xecb4	;
0x7a	0xecb5	;
0x7b	0xecb6	;
0x7c	0xecb7	;
0x7d	0xecb8	;
0x7e	0xecb9	;
0x7f	0xecba	;
0x81	0xecbb	;
0x82	0xecbc	;
0x83	0xecbd	;
0x84	0xecbe	;
0x85	0xecbf	;
0x86	0xecc0	;
0x87	0xecc1	;
0x88	0xecc2	;
0x89	0xecc3	;
0x8a	0xecc4	;
0x8b	0xecc5	;
0x8c	0xecc6	;
0x8d	0xecc7	;
0x8e	0xecc8	;
0x8f	0xecc9	;
0x90	0xecca	;
0x91	0xeccb	;
0x92	0xeccc	;
0x93	0xeccd	;
0x94	0xecce	;
0x95	0xeccf	;
0x96	0xecd0	;
0x97	0xecd1	;
0x98	0xecd2	;
0x99	0xecd3	;
0x9a	0xecd4	;
0x9b	0xecd5	;
0x9c	0xecd6	;
0x9d	0xecd7	;
0x9e	0xecd8	;
0x9f	0xecd9	;
0xa0	0xecda	;
0xa1	0xecdb	;
0xa2	0xecdc	;
0xa3	0xecdd	;
0xa4	0xecde	;
0xa5	0xecdf	;
0xa6	0xece0	;
0xa7	0xece1	;
0xa8	0xece2	;
0xa9	0xece3	;
0xaa	0xece4	;
0xab	0xece5	;
0xac	0xece6	;
0xad	0xece7	;
0xae	0xece8	;
0xaf	0xece9	;
0xb0	0xecea	;
0xb1	0xeceb	;
0xb2	0xecec	;
0xb3	0xeced	;
0xb4	0xecee	;
0xb5	0xecef	;
0xb6	0xecf0	;
0xb7	0xecf1	;
0xb8	0xecf2	;
0xb9	0xecf3	;
0xba	0xecf4	;
0xbb	0xecf5	;
0xbc	0xecf6	;
0xbd	0xecf7	;
0xbe	0xecf8	;
0xbf	0xecf9	;
0xc0	0xecfa	;
0xc1	0xecfb	;
0xc2	0xecfc	;
0xc3	0xecfd	;
0xc4	0xecfe	;
0xc5	0xecff	;
0xc6	0xed00	;
0xc7	0xed01	;
0xc8	0xed02	;
0xc9	0xed03	;
0xca	0xed04	;
0xcb	0xed05	;
0xcc	0xed06	;
0xcd	0xed07	;
0xce	0xed08	;
0xcf	0xed09	;
0xd0	0xed0a	;
0xd1	0xed0b	;
0xd2	0xed0c	;
0xd3	0xed0d	;
0xd4	0xed0e	;
0xd5	0xed0f	;
0xd6	0xed10	;
0xd7	0xed11	;
0xd8	0xed12	;
0xd9	0xed13	;
0xda	0xed14	;
0xdb	0xed15	;
0xdc	0xed16	;
0xdd	0xed17	;
0xde	0xed18	;
0xdf	0xed19	;
0xe0	0xed1a	;
0xe1	0xed1b	;
0xe2	0xed1c	;
0xe3	0xed1d	;
0xe4	0xed1e	;
0xe5	0xed1f	;
0xe6	0xed20	;
0xe7	0xed21	;
0xe8	0xed22	;
0xe9	0xed23	;
0xea	0xed24	;
0xeb	0xed25	;
0xec	0xed26	;
0xed	0xed27	;
0xee	0xed28	;
0xef	0xed29	;
0xf0	0xed2a	;
0xf1	0xed2b	;
0xf2	0xed2c	;
0xf3	0xed2d	;
0xf4	0xed2e	;
0xf5	0xed2f	;
0xf6	0xed30	;
0xf7	0xed31	;
0xf8	0xed32	;
0xf9	0xed33	;
0xfa	0xed34	;
0xfb	0xed35	;
0xfc	0xed36	;
0xfd	0xed37	;

DBCSTABLE	188	;LeadByte = 0xd4

0x41	0xed38	;
0x42	0xed39	;
0x43	0xed3a	;
0x44	0xed3b	;
0x45	0xed3c	;
0x46	0xed3d	;
0x47	0xed3e	;
0x48	0xed3f	;
0x49	0xed40	;
0x4a	0xed41	;
0x4b	0xed42	;
0x4c	0xed43	;
0x4d	0xed44	;
0x4e	0xed45	;
0x4f	0xed46	;
0x50	0xed47	;
0x51	0xed48	;
0x52	0xed49	;
0x53	0xed4a	;
0x54	0xed4b	;
0x55	0xed4c	;
0x56	0xed4d	;
0x57	0xed4e	;
0x58	0xed4f	;
0x59	0xed50	;
0x5a	0xed51	;
0x5b	0xed52	;
0x5c	0xed53	;
0x5d	0xed54	;
0x5e	0xed55	;
0x5f	0xed56	;
0x60	0xed57	;
0x61	0xed58	;
0x62	0xed59	;
0x63	0xed5a	;
0x64	0xed5b	;
0x65	0xed5c	;
0x66	0xed5d	;
0x67	0xed5e	;
0x68	0xed5f	;
0x69	0xed60	;
0x6a	0xed61	;
0x6b	0xed62	;
0x6c	0xed63	;
0x6d	0xed64	;
0x6e	0xed65	;
0x6f	0xed66	;
0x70	0xed67	;
0x71	0xed68	;
0x72	0xed69	;
0x73	0xed6a	;
0x74	0xed6b	;
0x75	0xed6c	;
0x76	0xed6d	;
0x77	0xed6e	;
0x78	0xed6f	;
0x79	0xed70	;
0x7a	0xed71	;
0x7b	0xed72	;
0x7c	0xed73	;
0x7d	0xed74	;
0x7e	0xed75	;
0x7f	0xed76	;
0x81	0xed77	;
0x82	0xed78	;
0x83	0xed79	;
0x84	0xed7a	;
0x85	0xed7b	;
0x86	0xed7c	;
0x87	0xed7d	;
0x88	0xed7e	;
0x89	0xed7f	;
0x8a	0xed80	;
0x8b	0xed81	;
0x8c	0xed82	;
0x8d	0xed83	;
0x8e	0xed84	;
0x8f	0xed85	;
0x90	0xed86	;
0x91	0xed87	;
0x92	0xed88	;
0x93	0xed89	;
0x94	0xed8a	;
0x95	0xed8b	;
0x96	0xed8c	;
0x97	0xed8d	;
0x98	0xed8e	;
0x99	0xed8f	;
0x9a	0xed90	;
0x9b	0xed91	;
0x9c	0xed92	;
0x9d	0xed93	;
0x9e	0xed94	;
0x9f	0xed95	;
0xa0	0xed96	;
0xa1	0xed97	;
0xa2	0xed98	;
0xa3	0xed99	;
0xa4	0xed9a	;
0xa5	0xed9b	;
0xa6	0xed9c	;
0xa7	0xed9d	;
0xa8	0xed9e	;
0xa9	0xed9f	;
0xaa	0xeda0	;
0xab	0xeda1	;
0xac	0xeda2	;
0xad	0xeda3	;
0xae	0xeda4	;
0xaf	0xeda5	;
0xb0	0xeda6	;
0xb1	0xeda7	;
0xb2	0xeda8	;
0xb3	0xeda9	;
0xb4	0xedaa	;
0xb5	0xedab	;
0xb6	0xedac	;
0xb7	0xedad	;
0xb8	0xedae	;
0xb9	0xedaf	;
0xba	0xedb0	;
0xbb	0xedb1	;
0xbc	0xedb2	;
0xbd	0xedb3	;
0xbe	0xedb4	;
0xbf	0xedb5	;
0xc0	0xedb6	;
0xc1	0xedb7	;
0xc2	0xedb8	;
0xc3	0xedb9	;
0xc4	0xedba	;
0xc5	0xedbb	;
0xc6	0xedbc	;
0xc7	0xedbd	;
0xc8	0xedbe	;
0xc9	0xedbf	;
0xca	0xedc0	;
0xcb	0xedc1	;
0xcc	0xedc2	;
0xcd	0xedc3	;
0xce	0xedc4	;
0xcf	0xedc5	;
0xd0	0xedc6	;
0xd1	0xedc7	;
0xd2	0xedc8	;
0xd3	0xedc9	;
0xd4	0xedca	;
0xd5	0xedcb	;
0xd6	0xedcc	;
0xd7	0xedcd	;
0xd8	0xedce	;
0xd9	0xedcf	;
0xda	0xedd0	;
0xdb	0xedd1	;
0xdc	0xedd2	;
0xdd	0xedd3	;
0xde	0xedd4	;
0xdf	0xedd5	;
0xe0	0xedd6	;
0xe1	0xedd7	;
0xe2	0xedd8	;
0xe3	0xedd9	;
0xe4	0xedda	;
0xe5	0xeddb	;
0xe6	0xeddc	;
0xe7	0xeddd	;
0xe8	0xedde	;
0xe9	0xeddf	;
0xea	0xede0	;
0xeb	0xede1	;
0xec	0xede2	;
0xed	0xede3	;
0xee	0xede4	;
0xef	0xede5	;
0xf0	0xede6	;
0xf1	0xede7	;
0xf2	0xede8	;
0xf3	0xede9	;
0xf4	0xedea	;
0xf5	0xedeb	;
0xf6	0xedec	;
0xf7	0xeded	;
0xf8	0xedee	;
0xf9	0xedef	;
0xfa	0xedf0	;
0xfb	0xedf1	;
0xfc	0xedf2	;
0xfd	0xedf3	;

DBCSTABLE	188	;LeadByte = 0xd5

0x41	0xedf4	;
0x42	0xedf5	;
0x43	0xedf6	;
0x44	0xedf7	;
0x45	0xedf8	;
0x46	0xedf9	;
0x47	0xedfa	;
0x48	0xedfb	;
0x49	0xedfc	;
0x4a	0xedfd	;
0x4b	0xedfe	;
0x4c	0xedff	;
0x4d	0xee00	;
0x4e	0xee01	;
0x4f	0xee02	;
0x50	0xee03	;
0x51	0xee04	;
0x52	0xee05	;
0x53	0xee06	;
0x54	0xee07	;
0x55	0xee08	;
0x56	0xee09	;
0x57	0xee0a	;
0x58	0xee0b	;
0x59	0xee0c	;
0x5a	0xee0d	;
0x5b	0xee0e	;
0x5c	0xee0f	;
0x5d	0xee10	;
0x5e	0xee11	;
0x5f	0xee12	;
0x60	0xee13	;
0x61	0xee14	;
0x62	0xee15	;
0x63	0xee16	;
0x64	0xee17	;
0x65	0xee18	;
0x66	0xee19	;
0x67	0xee1a	;
0x68	0xee1b	;
0x69	0xee1c	;
0x6a	0xee1d	;
0x6b	0xee1e	;
0x6c	0xee1f	;
0x6d	0xee20	;
0x6e	0xee21	;
0x6f	0xee22	;
0x70	0xee23	;
0x71	0xee24	;
0x72	0xee25	;
0x73	0xee26	;
0x74	0xee27	;
0x75	0xee28	;
0x76	0xee29	;
0x77	0xee2a	;
0x78	0xee2b	;
0x79	0xee2c	;
0x7a	0xee2d	;
0x7b	0xee2e	;
0x7c	0xee2f	;
0x7d	0xee30	;
0x7e	0xee31	;
0x7f	0xee32	;
0x81	0xee33	;
0x82	0xee34	;
0x83	0xee35	;
0x84	0xee36	;
0x85	0xee37	;
0x86	0xee38	;
0x87	0xee39	;
0x88	0xee3a	;
0x89	0xee3b	;
0x8a	0xee3c	;
0x8b	0xee3d	;
0x8c	0xee3e	;
0x8d	0xee3f	;
0x8e	0xee40	;
0x8f	0xee41	;
0x90	0xee42	;
0x91	0xee43	;
0x92	0xee44	;
0x93	0xee45	;
0x94	0xee46	;
0x95	0xee47	;
0x96	0xee48	;
0x97	0xee49	;
0x98	0xee4a	;
0x99	0xee4b	;
0x9a	0xee4c	;
0x9b	0xee4d	;
0x9c	0xee4e	;
0x9d	0xee4f	;
0x9e	0xee50	;
0x9f	0xee51	;
0xa0	0xee52	;
0xa1	0xee53	;
0xa2	0xee54	;
0xa3	0xee55	;
0xa4	0xee56	;
0xa5	0xee57	;
0xa6	0xee58	;
0xa7	0xee59	;
0xa8	0xee5a	;
0xa9	0xee5b	;
0xaa	0xee5c	;
0xab	0xee5d	;
0xac	0xee5e	;
0xad	0xee5f	;
0xae	0xee60	;
0xaf	0xee61	;
0xb0	0xee62	;
0xb1	0xee63	;
0xb2	0xee64	;
0xb3	0xee65	;
0xb4	0xee66	;
0xb5	0xee67	;
0xb6	0xee68	;
0xb7	0xee69	;
0xb8	0xee6a	;
0xb9	0xee6b	;
0xba	0xee6c	;
0xbb	0xee6d	;
0xbc	0xee6e	;
0xbd	0xee6f	;
0xbe	0xee70	;
0xbf	0xee71	;
0xc0	0xee72	;
0xc1	0xee73	;
0xc2	0xee74	;
0xc3	0xee75	;
0xc4	0xee76	;
0xc5	0xee77	;
0xc6	0xee78	;
0xc7	0xee79	;
0xc8	0xee7a	;
0xc9	0xee7b	;
0xca	0xee7c	;
0xcb	0xee7d	;
0xcc	0xee7e	;
0xcd	0xee7f	;
0xce	0xee80	;
0xcf	0xee81	;
0xd0	0xee82	;
0xd1	0xee83	;
0xd2	0xee84	;
0xd3	0xee85	;
0xd4	0xee86	;
0xd5	0xee87	;
0xd6	0xee88	;
0xd7	0xee89	;
0xd8	0xee8a	;
0xd9	0xee8b	;
0xda	0xee8c	;
0xdb	0xee8d	;
0xdc	0xee8e	;
0xdd	0xee8f	;
0xde	0xee90	;
0xdf	0xee91	;
0xe0	0xee92	;
0xe1	0xee93	;
0xe2	0xee94	;
0xe3	0xee95	;
0xe4	0xee96	;
0xe5	0xee97	;
0xe6	0xee98	;
0xe7	0xee99	;
0xe8	0xee9a	;
0xe9	0xee9b	;
0xea	0xee9c	;
0xeb	0xee9d	;
0xec	0xee9e	;
0xed	0xee9f	;
0xee	0xeea0	;
0xef	0xeea1	;
0xf0	0xeea2	;
0xf1	0xeea3	;
0xf2	0xeea4	;
0xf3	0xeea5	;
0xf4	0xeea6	;
0xf5	0xeea7	;
0xf6	0xeea8	;
0xf7	0xeea9	;
0xf8	0xeeaa	;
0xf9	0xeeab	;
0xfa	0xeeac	;
0xfb	0xeead	;
0xfc	0xeeae	;
0xfd	0xeeaf	;

DBCSTABLE	188	;LeadByte = 0xd6

0x41	0xeeb0	;
0x42	0xeeb1	;
0x43	0xeeb2	;
0x44	0xeeb3	;
0x45	0xeeb4	;
0x46	0xeeb5	;
0x47	0xeeb6	;
0x48	0xeeb7	;
0x49	0xeeb8	;
0x4a	0xeeb9	;
0x4b	0xeeba	;
0x4c	0xeebb	;
0x4d	0xeebc	;
0x4e	0xeebd	;
0x4f	0xeebe	;
0x50	0xeebf	;
0x51	0xeec0	;
0x52	0xeec1	;
0x53	0xeec2	;
0x54	0xeec3	;
0x55	0xeec4	;
0x56	0xeec5	;
0x57	0xeec6	;
0x58	0xeec7	;
0x59	0xeec8	;
0x5a	0xeec9	;
0x5b	0xeeca	;
0x5c	0xeecb	;
0x5d	0xeecc	;
0x5e	0xeecd	;
0x5f	0xeece	;
0x60	0xeecf	;
0x61	0xeed0	;
0x62	0xeed1	;
0x63	0xeed2	;
0x64	0xeed3	;
0x65	0xeed4	;
0x66	0xeed5	;
0x67	0xeed6	;
0x68	0xeed7	;
0x69	0xeed8	;
0x6a	0xeed9	;
0x6b	0xeeda	;
0x6c	0xeedb	;
0x6d	0xeedc	;
0x6e	0xeedd	;
0x6f	0xeede	;
0x70	0xeedf	;
0x71	0xeee0	;
0x72	0xeee1	;
0x73	0xeee2	;
0x74	0xeee3	;
0x75	0xeee4	;
0x76	0xeee5	;
0x77	0xeee6	;
0x78	0xeee7	;
0x79	0xeee8	;
0x7a	0xeee9	;
0x7b	0xeeea	;
0x7c	0xeeeb	;
0x7d	0xeeec	;
0x7e	0xeeed	;
0x7f	0xeeee	;
0x81	0xeeef	;
0x82	0xeef0	;
0x83	0xeef1	;
0x84	0xeef2	;
0x85	0xeef3	;
0x86	0xeef4	;
0x87	0xeef5	;
0x88	0xeef6	;
0x89	0xeef7	;
0x8a	0xeef8	;
0x8b	0xeef9	;
0x8c	0xeefa	;
0x8d	0xeefb	;
0x8e	0xeefc	;
0x8f	0xeefd	;
0x90	0xeefe	;
0x91	0xeeff	;
0x92	0xef00	;
0x93	0xef01	;
0x94	0xef02	;
0x95	0xef03	;
0x96	0xef04	;
0x97	0xef05	;
0x98	0xef06	;
0x99	0xef07	;
0x9a	0xef08	;
0x9b	0xef09	;
0x9c	0xef0a	;
0x9d	0xef0b	;
0x9e	0xef0c	;
0x9f	0xef0d	;
0xa0	0xef0e	;
0xa1	0xef0f	;
0xa2	0xef10	;
0xa3	0xef11	;
0xa4	0xef12	;
0xa5	0xef13	;
0xa6	0xef14	;
0xa7	0xef15	;
0xa8	0xef16	;
0xa9	0xef17	;
0xaa	0xef18	;
0xab	0xef19	;
0xac	0xef1a	;
0xad	0xef1b	;
0xae	0xef1c	;
0xaf	0xef1d	;
0xb0	0xef1e	;
0xb1	0xef1f	;
0xb2	0xef20	;
0xb3	0xef21	;
0xb4	0xef22	;
0xb5	0xef23	;
0xb6	0xef24	;
0xb7	0xef25	;
0xb8	0xef26	;
0xb9	0xef27	;
0xba	0xef28	;
0xbb	0xef29	;
0xbc	0xef2a	;
0xbd	0xef2b	;
0xbe	0xef2c	;
0xbf	0xef2d	;
0xc0	0xef2e	;
0xc1	0xef2f	;
0xc2	0xef30	;
0xc3	0xef31	;
0xc4	0xef32	;
0xc5	0xef33	;
0xc6	0xef34	;
0xc7	0xef35	;
0xc8	0xef36	;
0xc9	0xef37	;
0xca	0xef38	;
0xcb	0xef39	;
0xcc	0xef3a	;
0xcd	0xef3b	;
0xce	0xef3c	;
0xcf	0xef3d	;
0xd0	0xef3e	;
0xd1	0xef3f	;
0xd2	0xef40	;
0xd3	0xef41	;
0xd4	0xef42	;
0xd5	0xef43	;
0xd6	0xef44	;
0xd7	0xef45	;
0xd8	0xef46	;
0xd9	0xef47	;
0xda	0xef48	;
0xdb	0xef49	;
0xdc	0xef4a	;
0xdd	0xef4b	;
0xde	0xef4c	;
0xdf	0xef4d	;
0xe0	0xef4e	;
0xe1	0xef4f	;
0xe2	0xef50	;
0xe3	0xef51	;
0xe4	0xef52	;
0xe5	0xef53	;
0xe6	0xef54	;
0xe7	0xef55	;
0xe8	0xef56	;
0xe9	0xef57	;
0xea	0xef58	;
0xeb	0xef59	;
0xec	0xef5a	;
0xed	0xef5b	;
0xee	0xef5c	;
0xef	0xef5d	;
0xf0	0xef5e	;
0xf1	0xef5f	;
0xf2	0xef60	;
0xf3	0xef61	;
0xf4	0xef62	;
0xf5	0xef63	;
0xf6	0xef64	;
0xf7	0xef65	;
0xf8	0xef66	;
0xf9	0xef67	;
0xfa	0xef68	;
0xfb	0xef69	;
0xfc	0xef6a	;
0xfd	0xef6b	;

DBCSTABLE	188	;LeadByte = 0xd7

0x41	0xef6c	;
0x42	0xef6d	;
0x43	0xef6e	;
0x44	0xef6f	;
0x45	0xef70	;
0x46	0xef71	;
0x47	0xef72	;
0x48	0xef73	;
0x49	0xef74	;
0x4a	0xef75	;
0x4b	0xef76	;
0x4c	0xef77	;
0x4d	0xef78	;
0x4e	0xef79	;
0x4f	0xef7a	;
0x50	0xef7b	;
0x51	0xef7c	;
0x52	0xef7d	;
0x53	0xef7e	;
0x54	0xef7f	;
0x55	0xef80	;
0x56	0xef81	;
0x57	0xef82	;
0x58	0xef83	;
0x59	0xef84	;
0x5a	0xef85	;
0x5b	0xef86	;
0x5c	0xef87	;
0x5d	0xef88	;
0x5e	0xef89	;
0x5f	0xef8a	;
0x60	0xef8b	;
0x61	0xef8c	;
0x62	0xef8d	;
0x63	0xef8e	;
0x64	0xef8f	;
0x65	0xef90	;
0x66	0xef91	;
0x67	0xef92	;
0x68	0xef93	;
0x69	0xef94	;
0x6a	0xef95	;
0x6b	0xef96	;
0x6c	0xef97	;
0x6d	0xef98	;
0x6e	0xef99	;
0x6f	0xef9a	;
0x70	0xef9b	;
0x71	0xef9c	;
0x72	0xef9d	;
0x73	0xef9e	;
0x74	0xef9f	;
0x75	0xefa0	;
0x76	0xefa1	;
0x77	0xefa2	;
0x78	0xefa3	;
0x79	0xefa4	;
0x7a	0xefa5	;
0x7b	0xefa6	;
0x7c	0xefa7	;
0x7d	0xefa8	;
0x7e	0xefa9	;
0x7f	0xefaa	;
0x81	0xefab	;
0x82	0xefac	;
0x83	0xefad	;
0x84	0xefae	;
0x85	0xefaf	;
0x86	0xefb0	;
0x87	0xefb1	;
0x88	0xefb2	;
0x89	0xefb3	;
0x8a	0xefb4	;
0x8b	0xefb5	;
0x8c	0xefb6	;
0x8d	0xefb7	;
0x8e	0xefb8	;
0x8f	0xefb9	;
0x90	0xefba	;
0x91	0xefbb	;
0x92	0xefbc	;
0x93	0xefbd	;
0x94	0xefbe	;
0x95	0xefbf	;
0x96	0xefc0	;
0x97	0xefc1	;
0x98	0xefc2	;
0x99	0xefc3	;
0x9a	0xefc4	;
0x9b	0xefc5	;
0x9c	0xefc6	;
0x9d	0xefc7	;
0x9e	0xefc8	;
0x9f	0xefc9	;
0xa0	0xefca	;
0xa1	0xefcb	;
0xa2	0xefcc	;
0xa3	0xefcd	;
0xa4	0xefce	;
0xa5	0xefcf	;
0xa6	0xefd0	;
0xa7	0xefd1	;
0xa8	0xefd2	;
0xa9	0xefd3	;
0xaa	0xefd4	;
0xab	0xefd5	;
0xac	0xefd6	;
0xad	0xefd7	;
0xae	0xefd8	;
0xaf	0xefd9	;
0xb0	0xefda	;
0xb1	0xefdb	;
0xb2	0xefdc	;
0xb3	0xefdd	;
0xb4	0xefde	;
0xb5	0xefdf	;
0xb6	0xefe0	;
0xb7	0xefe1	;
0xb8	0xefe2	;
0xb9	0xefe3	;
0xba	0xefe4	;
0xbb	0xefe5	;
0xbc	0xefe6	;
0xbd	0xefe7	;
0xbe	0xefe8	;
0xbf	0xefe9	;
0xc0	0xefea	;
0xc1	0xefeb	;
0xc2	0xefec	;
0xc3	0xefed	;
0xc4	0xefee	;
0xc5	0xefef	;
0xc6	0xeff0	;
0xc7	0xeff1	;
0xc8	0xeff2	;
0xc9	0xeff3	;
0xca	0xeff4	;
0xcb	0xeff5	;
0xcc	0xeff6	;
0xcd	0xeff7	;
0xce	0xeff8	;
0xcf	0xeff9	;
0xd0	0xeffa	;
0xd1	0xeffb	;
0xd2	0xeffc	;
0xd3	0xeffd	;
0xd4	0xeffe	;
0xd5	0xefff	;
0xd6	0xf000	;
0xd7	0xf001	;
0xd8	0xf002	;
0xd9	0xf003	;
0xda	0xf004	;
0xdb	0xf005	;
0xdc	0xf006	;
0xdd	0xf007	;
0xde	0xf008	;
0xdf	0xf009	;
0xe0	0xf00a	;
0xe1	0xf00b	;
0xe2	0xf00c	;
0xe3	0xf00d	;
0xe4	0xf00e	;
0xe5	0xf00f	;
0xe6	0xf010	;
0xe7	0xf011	;
0xe8	0xf012	;
0xe9	0xf013	;
0xea	0xf014	;
0xeb	0xf015	;
0xec	0xf016	;
0xed	0xf017	;
0xee	0xf018	;
0xef	0xf019	;
0xf0	0xf01a	;
0xf1	0xf01b	;
0xf2	0xf01c	;
0xf3	0xf01d	;
0xf4	0xf01e	;
0xf5	0xf01f	;
0xf6	0xf020	;
0xf7	0xf021	;
0xf8	0xf022	;
0xf9	0xf023	;
0xfa	0xf024	;
0xfb	0xf025	;
0xfc	0xf026	;
0xfd	0xf027	;

